financials.Country,financials.Product,financials.Month Name,Sum(financials. Sales),Sum(financials.COGS)
Germany,Carretera,September,24944.399999999998,9160
Mexico,Paseo,April,473078.25,414425
Mexico,Paseo,August,32667.4,24255
Mexico,Paseo,December,627120.88,519792
Mexico,Paseo,February,19082,12340
Mexico,Paseo,January,1470059.5,1269670
Mexico,Paseo,July,231557.49,220473
Mexico,Paseo,June,1051834.6,935180
Mexico,Paseo,March,148081.6,144900
Mexico,Paseo,May,1007742.5,889010
Mexico,Paseo,November,1607033.58,1416269
Mexico,Paseo,October,618971.99,592316
Mexico,Paseo,September,340501.6,260450
Mexico,VTT,April,22302.24,5748
Mexico,VTT,August,557459,426920
Mexico,VTT,December,690439.5700000001,519335
Mexico,VTT,February,766413,686750
Mexico,VTT,January,61632.5,66480
Mexico,VTT,July,8653.5,6410
Mexico,VTT,June,90951.84,86930
Mexico,VTT,March,17476.06,14515
Mexico,VTT,May,38362.5,40920
Mexico,VTT,November,120871.15,116470
Mexico,VTT,October,670461.95,515305
Mexico,VTT,September,127373.4,111015
Mexico,Amarilla,April,128880,128880
Mexico,Amarilla,August,12802.2,3369
Mexico,Amarilla,December,219235.95,184445
Mexico,Amarilla,February,626640,484900
Mexico,Amarilla,January,46796.2,26290
Mexico,Amarilla,July,11191.95,8415
Mexico,Amarilla,June,697851.6,625380
Mexico,Amarilla,March,323694,275250
Mexico,Amarilla,May,36702,20390
Mexico,Amarilla,November,54953.8,35640
Mexico,Amarilla,October,261062.94,235805
Mexico,Amarilla,September,657744.75,550180
Mexico,Carretera,April,44358.8,25790
Mexico,Carretera,August,177100,184800
Mexico,Carretera,December,745140.27,695245
Mexico,Carretera,February,8113.32,2181
Mexico,Carretera,January,,
Mexico,Carretera,July,206658,200250
Mexico,Carretera,June,309938,255060
Mexico,Carretera,March,419265,314600
Mexico,Carretera,May,,
Mexico,Carretera,November,56630.130000000005,41440
Mexico,Carretera,October,871946.14,746541
Mexico,Carretera,September,40451.76,20026
Mexico,Velo,April,35872.2,26280
Mexico,Velo,August,11327.4,6090
Mexico,Velo,December,198670.24,167442
Mexico,Velo,February,169312.5,189000
Mexico,Velo,January,51220.25,36075
Mexico,Velo,July,429660,362700
Mexico,Velo,June,16162.6,9302
Mexico,Velo,March,5100,1500
Mexico,Velo,May,5852.91,4260
Mexico,Velo,November,688676.14,657915
Mexico,Velo,October,390126.9,357120
Mexico,Velo,September,248756.75,259750
Mexico,Montana,April,322420,254800
Mexico,Montana,August,287400,239500
Mexico,Montana,December,478855.95,433130
Mexico,Montana,February,8139.6,6840
Mexico,Montana,January,26114.4,7020
Mexico,Montana,July,39237,22550
Mexico,Montana,June,43355.76,26512
Mexico,Montana,March,32877.9,22140
Mexico,Montana,May,28100.16,7983
Mexico,Montana,November,211464.4,201270
Mexico,Montana,October,209056.94,182595
Mexico,Montana,September,254307.2,199300
