measures-as-group,financials.Country,financials.Segment,Sum(financials. Sales),
COGS,United States of America,Enterprise,4525740,"4525740,17071795,21597535"
COGS,United States of America,Government,6687295,"6687295,10384500,17071795"
COGS,United States of America,Midmarket,338215,"338215,21597535,21935750"
COGS,United States of America,Small Business,10384500,"10384500,0,10384500"
Profit,Canada,Channel Partners,358978.14,"358978.14,3159270.5200000005,3518248.6600000006"
Profit,Canada,Enterprise,-121508.75,"-121508.75,3650737.6350000007,3529228.8850000007"
Profit,Canada,Government,2258471.5200000005,"2258471.5200000005,0,2258471.5200000005"
Profit,Canada,Midmarket,132488.97499999998,"132488.97499999998,3518248.6600000006,3650737.6350000007"
Profit,Canada,Small Business,900799,"900799,2258471.5200000005,3159270.5200000005"
Profit,France,Channel Partners,271581.3599999999,"271581.3599999999,3440646.7200000007,3712228.0800000005"
Profit,France,Enterprise,-95749.375,"-95749.375,3876770.1550000007,3781020.7800000007"
Profit,France,Government,2709915.2200000007,"2709915.2200000007,0,2709915.2200000007"
Profit,France,Midmarket,164542.07499999998,"164542.07499999998,3712228.0800000005,3876770.1550000007"
Profit,France,Small Business,730731.5,"730731.5,2709915.2200000007,3440646.7200000007"
Profit,Germany,Channel Partners,247358.87999999998,"247358.87999999998,3449148.9400000004,3696507.8200000003"
Profit,Germany,Enterprise,-101473.75,"-101473.75,3781862.5700000003,3680388.8200000003"
Profit,Germany,Government,2677175.9400000004,"2677175.9400000004,0,2677175.9400000004"
Profit,Germany,Midmarket,85354.75,"85354.75,3696507.8200000003,3781862.5700000003"
Profit,Germany,Small Business,771973,"771973,2677175.9400000004,3449148.9400000004"
Profit,Mexico,Channel Partners,170890.07999999996,"170890.07999999996,0,170890.07999999996"
Profit,Mexico,Enterprise,-120678.75,"-120678.75,170890.07999999996,50211.32999999996"
Profit,Mexico,Government,2039159.3800000001,"2039159.3800000001,50211.32999999996,2089370.71"
Profit,Mexico,Midmarket,150546.4,"150546.4,2089370.71,2239917.11"
Profit,Mexico,Small Business,667606,"667606,2239917.11,2907523.11"
Profit,United States of America,Channel Partners,267994.68,"267994.68,0,267994.68"
Profit,United States of America,Enterprise,-175135,"-175135,267994.68,92859.68"
Profit,United States of America,Government,1703451.1100000003,"1703451.1100000003,92859.68,1796310.7900000003"
Profit,United States of America,Midmarket,127170.875,"127170.875,1796310.7900000003,1923481.6650000003"
Profit,United States of America,Small Business,1072059,"1072059,1923481.6650000003,2995540.665"
