Orders.City,Orders.Category,CountNonNull(Orders.Row ID)
Morristown,Office Supplies,29169
Morristown,Technology,8878
Mount Pleasant,Furniture,7610
Mount Pleasant,Office Supplies,
Mount Pleasant,Technology,
Mount Vernon,Furniture,
Mount Vernon,Office Supplies,29805
Mount Vernon,Technology,1429
Murfreesboro,Furniture,17783
Murfreesboro,Office Supplies,43878
Murfreesboro,Technology,17458
Murray,Furniture,3009
Murray,Office Supplies,8358
Murray,Technology,4273
Murrieta,Furniture,
Murrieta,Office Supplies,1005
Murrieta,Technology,
Muskogee,Furniture,1832
Muskogee,Office Supplies,6573
Muskogee,Technology,1831
Naperville,Furniture,6899
Naperville,Office Supplies,18269
Naperville,Technology,5080
Nashua,Furniture,6032
Nashua,Office Supplies,6724
Nashua,Technology,
Nashville,Furniture,30005
Nashville,Office Supplies,126069
Nashville,Technology,31820
New Albany,Furniture,105
New Albany,Office Supplies,101
New Albany,Technology,
New Bedford,Furniture,
New Bedford,Office Supplies,19353
New Bedford,Technology,14614
New Brunswick,Furniture,
New Brunswick,Office Supplies,1719
New Brunswick,Technology,
New Castle,Furniture,
New Castle,Office Supplies,2285
New Castle,Technology,2284
New Rochelle,Furniture,8695
New Rochelle,Office Supplies,39795
New Rochelle,Technology,1318
New York City,Furniture,948974
New York City,Office Supplies,2680793
New York City,Technology,821161
Newark,Furniture,90826
Newark,Office Supplies,286246
Newark,Technology,117148
Newport News,Furniture,7573
Newport News,Office Supplies,49067
Newport News,Technology,4640
Niagara Falls,Furniture,
Niagara Falls,Office Supplies,2951
Niagara Falls,Technology,9934
Noblesville,Furniture,8469
Noblesville,Office Supplies,2916
Noblesville,Technology,5832
Norfolk,Furniture,
Norfolk,Office Supplies,5539
Norfolk,Technology,
Normal,Furniture,7002
Normal,Office Supplies,
Normal,Technology,
Norman,Furniture,
Norman,Office Supplies,
Norman,Technology,3827
North Charleston,Furniture,6909
North Charleston,Office Supplies,2449
North Charleston,Technology,
North Las Vegas,Furniture,23420
North Las Vegas,Office Supplies,50045
North Las Vegas,Technology,9351
North Miami,Furniture,
North Miami,Office Supplies,12517
North Miami,Technology,
Norwich,Furniture,913
Norwich,Office Supplies,14615
Norwich,Technology,
Oak Park,Furniture,10743
Oak Park,Office Supplies,4860
Oak Park,Technology,
Oakland,Furniture,40095
