Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Segment,Orders.Ship Mode,Measure.Cost LM,Measure.Gross Profit,Measure.PCT Profit return
Office Supplies,Paper,Central,Corporate,Same Day,,,
Office Supplies,Paper,Central,Corporate,Second Class,12669.342200000005,-685089.456,1
Office Supplies,Paper,Central,Corporate,Standard Class,28087.98759999997,-668356.726,0.9665682627373875
Office Supplies,Paper,Central,Home Office,First Class,4224.868700000001,-695167.614,1
Office Supplies,Paper,Central,Home Office,Same Day,1744.3614999999995,-697686.798,1
Office Supplies,Paper,Central,Home Office,Second Class,7425.252099999997,-690774.324,0.7795507187336319
Office Supplies,Paper,Central,Home Office,Standard Class,11089.791800000003,-687076.304,0.968677259465549
Office Supplies,Storage,Central,Consumer,First Class,6056.224999999999,-694007.81,1
Office Supplies,Storage,Central,Consumer,Same Day,5097.6103,-694550.146,0.9677645190605219
Office Supplies,Storage,Central,Consumer,Second Class,13436.431699999996,-685601.848,1
Office Supplies,Storage,Central,Consumer,Standard Class,66800.88270000003,-632411.196,1.5845261584203711
Office Supplies,Storage,Central,Corporate,First Class,8621.638799999999,-691070.14,0.9766304199711118
Office Supplies,Storage,Central,Corporate,Same Day,5463.3316,-694056.306,0.29028833230910656
Office Supplies,Storage,Central,Corporate,Second Class,4842.924900000001,-694812.154,1
Office Supplies,Storage,Central,Corporate,Standard Class,26927.65529999997,-671453.296,0.8015834854133794
Office Supplies,Storage,Central,Home Office,First Class,4468.5076,-695662.686,1
Office Supplies,Storage,Central,Home Office,Same Day,1513.5505999999998,-698390.624,1
Office Supplies,Storage,Central,Home Office,Second Class,4424.2851,-695438.658,1
Office Supplies,Storage,Central,Home Office,Standard Class,22404.837000000003,-677067.26,1
Office Supplies,Supplies,Central,Consumer,First Class,300.5568,-699698.92,1
Office Supplies,Supplies,Central,Consumer,Same Day,229.816,-699764.64,1
Office Supplies,Supplies,Central,Consumer,Second Class,1981.6602,-697991.492,1
Office Supplies,Supplies,Central,Consumer,Standard Class,20705.385600000005,-681653.964,1.0063064212750625
Office Supplies,Supplies,Central,Corporate,First Class,414.38079999999997,-699582.264,0
Office Supplies,Supplies,Central,Corporate,Same Day,,,
Office Supplies,Supplies,Central,Corporate,Second Class,13712.354199999994,-686030.426,1
Office Supplies,Supplies,Central,Corporate,Standard Class,1961.5622000000003,-698003.036,1
Office Supplies,Supplies,Central,Home Office,First Class,,,
Office Supplies,Supplies,Central,Home Office,Same Day,,,
Office Supplies,Supplies,Central,Home Office,Second Class,,,
Office Supplies,Supplies,Central,Home Office,Standard Class,2306.0982999999997,-697659.504,1
Technology,Accessories,Central,Consumer,First Class,6432.8393,-692517.558,1
Technology,Accessories,Central,Consumer,Same Day,8389.892400000002,-690325.97,0.863078765785705
Technology,Accessories,Central,Consumer,Second Class,21273.544199999993,-676666.142,1
Technology,Accessories,Central,Consumer,Standard Class,37908.67449999999,-656792.97,1.0129992952534121
Technology,Accessories,Central,Corporate,First Class,5762.428100000001,-693544.844,0.6521599606425553
Technology,Accessories,Central,Corporate,Same Day,,,
Technology,Accessories,Central,Corporate,Second Class,8733.2271,-690525.162,1
Technology,Accessories,Central,Corporate,Standard Class,15000.195800000007,-682651.384,1
Technology,Accessories,Central,Home Office,First Class,1744.89,-697691.862,1
Technology,Accessories,Central,Home Office,Same Day,,,
Technology,Accessories,Central,Home Office,Second Class,5907.875600000001,-692459.272,1
Technology,Accessories,Central,Home Office,Standard Class,19610.500200000013,-676491.776,1
Technology,Copiers,Central,Consumer,First Class,,,
Technology,Copiers,Central,Consumer,Same Day,1103.9740000000002,-698476.04,1
Technology,Copiers,Central,Consumer,Second Class,,,
Technology,Copiers,Central,Consumer,Standard Class,4799.8983,-693279.152,1
Technology,Copiers,Central,Corporate,First Class,853.9682000000003,-698822.048,1
Technology,Copiers,Central,Corporate,Same Day,,,
Technology,Copiers,Central,Corporate,Second Class,665.9899999999999,-699004.016,1
Technology,Copiers,Central,Corporate,Standard Class,42352.706699999995,-621171.534,1
Technology,Copiers,Central,Home Office,First Class,,,
Technology,Copiers,Central,Home Office,Same Day,2332.9687999999996,-696659.048,1
Technology,Copiers,Central,Home Office,Second Class,661.989,-697885.04,1
Technology,Copiers,Central,Home Office,Standard Class,1279.9850000000001,-697895.03,1
Technology,Machines,Central,Consumer,First Class,,,
Technology,Machines,Central,Consumer,Same Day,,,
Technology,Machines,Central,Consumer,Second Class,1639.3899999999999,-698475.12,1
Technology,Machines,Central,Consumer,Standard Class,17780.7965,-683767.148,1
Technology,Machines,Central,Corporate,First Class,7543.9580000000005,-690416.054,1
Technology,Machines,Central,Corporate,Same Day,,,
Technology,Machines,Central,Corporate,Second Class,8935.0458,-691677.664,1
Technology,Machines,Central,Corporate,Standard Class,7443.8954,-693357.368,1
Technology,Machines,Central,Home Office,First Class,569.863,-699274.09,1
Technology,Machines,Central,Home Office,Same Day,963.9598000000001,-699009.042,1
Technology,Machines,Central,Home Office,Second Class,3811.6057000000005,-695317.003,0.6793140642271095
Technology,Machines,Central,Home Office,Standard Class,2535.580100000001,-696873.551,1
Technology,Phones,Central,Consumer,First Class,15222.5728,-682862.17,1
Technology,Phones,Central,Consumer,Same Day,2038.6464999999998,-697961.316,1
Technology,Phones,Central,Consumer,Second Class,15893.965100000001,-681944.856,0.9431543993839795
Technology,Phones,Central,Consumer,Standard Class,78057.074,-609430.006,1
Technology,Phones,Central,Corporate,First Class,10314.305700000003,-688722.114,1
Technology,Phones,Central,Corporate,Same Day,,,
Technology,Phones,Central,Corporate,Second Class,14979.0789,-683447.72,1
Technology,Phones,Central,Corporate,Standard Class,26103.7312,-670639.234,1
Technology,Phones,Central,Home Office,First Class,6950.408400000002,-692344.34,1
Technology,Phones,Central,Home Office,Same Day,4203.606899999999,-694695.16,1
Technology,Phones,Central,Home Office,Second Class,19118.924399999993,-676212.206,1
Technology,Phones,Central,Home Office,Standard Class,19171.780700000007,-676273.458,1
