Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status)
blank-axis-row,3375,0.033,Alan Steiner,12
blank-axis-row,3375,0.013,Molly Clark,29
blank-axis-row,3375,0.013,David So,27
blank-axis-row,3375,0.013,Eric Gruber,25
blank-axis-row,3375,0.013,Alicia Thomber,20
blank-axis-row,3375,0.013,Julian Isla,14
blank-axis-row,3375,0.013,Spencer Low,12
blank-axis-row,3375,0.013,Jeff Hay,9
blank-axis-row,3375,0.013,Alan Steiner,6
blank-axis-row,3375,0.032,Greg Winston,44
blank-axis-row,3375,0.032,Renee Lo,8
blank-axis-row,3375,0.032,Sanjay Shah,7
blank-axis-row,3375,0.032,Anne Weiler,4
blank-axis-row,3375,0.035,Anne Weiler,27
blank-axis-row,3375,0.035,Alan Steiner,15
blank-axis-row,3375,0.035,Renee Lo,5
blank-axis-row,3375,0.035,Molly Clark,4
blank-axis-row,3375,0.012,Greg Winston,36
blank-axis-row,3375,0.012,Sanjay Shah,7
blank-axis-row,3375,0.012,Anne Weiler,2
blank-axis-row,3375,0.012,Renee Lo,2
blank-axis-row,3375,0.015,Anne Weiler,18
blank-axis-row,3375,0.015,Alan Steiner,9
blank-axis-row,3375,0.015,Renee Lo,7
blank-axis-row,3375,0.038,Molly Clark,7
blank-axis-row,3375,0.038,Alicia Thomber,6
blank-axis-row,3375,0.038,David So,4
blank-axis-row,3375,0.038,Eric Gruber,4
blank-axis-row,3375,0.038,Spencer Low,4
blank-axis-row,3375,0.038,Alan Steiner,3
blank-axis-row,3375,0.038,Jeff Hay,2
blank-axis-row,3375,0.038,Julian Isla,2
blank-axis-row,3375,0.003,Eric Gruber,6
blank-axis-row,3375,0.003,Alicia Thomber,5
blank-axis-row,3375,0.003,David So,4
blank-axis-row,3375,0.003,Molly Clark,4
blank-axis-row,3375,0.003,Jeff Hay,2
blank-axis-row,3375,0.003,Julian Isla,2
blank-axis-row,3375,0.003,Alan Steiner,1
blank-axis-row,3375,0.063,Alicia Thomber,5
blank-axis-row,3375,0.063,Molly Clark,5
blank-axis-row,3375,0.063,Eric Gruber,4
blank-axis-row,3375,0.063,David So,3
blank-axis-row,3375,0.063,Julian Isla,3
blank-axis-row,3375,0.063,Spencer Low,3
blank-axis-row,3375,0.063,Alan Steiner,1
blank-axis-row,3375,0.037,Greg Winston,8
blank-axis-row,3375,0.037,Sanjay Shah,2
blank-axis-row,3375,0.037,Anne Weiler,1
blank-axis-row,3375,0.011,Anne Weiler,4
blank-axis-row,3375,0.011,Sanjay Shah,3
blank-axis-row,3375,0.031,Anne Weiler,4
blank-axis-row,3375,0.031,Sanjay Shah,3
blank-axis-row,3375,0.062,Greg Winston,5
blank-axis-row,3375,0.062,Renee Lo,1
blank-axis-row,3375,0.062,Sanjay Shah,1
blank-axis-row,3375,0.04,Anne Weiler,3
blank-axis-row,3375,0.04,Alan Steiner,1
blank-axis-row,3375,0.04,Renee Lo,1
blank-axis-row,3375,0.065,Anne Weiler,3
blank-axis-row,3375,0.065,Alan Steiner,2
blank-axis-row,3375,0.005,Alan Steiner,2
blank-axis-row,3375,0.005,Anne Weiler,1
blank-axis-row,3375,0.005,Renee Lo,1
blank-axis-row,3375,0.002,Anne Weiler,1
blank-axis-row,3375,0.002,Greg Winston,1
blank-axis-row,3375,0.002,Renee Lo,1
blank-axis-row,3375,0.036,Sanjay Shah,2
blank-axis-row,3375,0.001,Sanjay Shah,1
blank-axis-row,3375,0.061,Anne Weiler,1
blank-axis-row,3625,0.033,David So,34
blank-axis-row,3625,0.033,Molly Clark,34
blank-axis-row,3625,0.033,Alicia Thomber,30
blank-axis-row,3625,0.033,Eric Gruber,30
blank-axis-row,3625,0.033,Alan Steiner,16
blank-axis-row,3625,0.033,Spencer Low,16
blank-axis-row,3625,0.033,Julian Isla,11
blank-axis-row,3625,0.033,Jeff Hay,9
blank-axis-row,3625,0.033,Anne Weiler,1
blank-axis-row,3625,0.013,Molly Clark,29
blank-axis-row,3625,0.013,David So,23
blank-axis-row,3625,0.013,Alicia Thomber,17
blank-axis-row,3625,0.013,Eric Gruber,15
blank-axis-row,3625,0.013,Alan Steiner,13
blank-axis-row,3625,0.013,Julian Isla,11
blank-axis-row,3625,0.013,Jeff Hay,9
blank-axis-row,3625,0.013,Spencer Low,8
blank-axis-row,3625,0.032,Greg Winston,44
blank-axis-row,3625,0.032,Sanjay Shah,11
blank-axis-row,3625,0.032,Anne Weiler,6
blank-axis-row,3625,0.032,Renee Lo,3
blank-axis-row,3625,0.035,Anne Weiler,24
blank-axis-row,3625,0.035,Alan Steiner,16
blank-axis-row,3625,0.035,Molly Clark,3
blank-axis-row,3625,0.035,Renee Lo,2
blank-axis-row,3625,0.012,Greg Winston,30
blank-axis-row,3625,0.012,Renee Lo,7
blank-axis-row,3625,0.012,Anne Weiler,3
blank-axis-row,3625,0.012,Sanjay Shah,3
blank-axis-row,3625,0.038,Molly Clark,9
blank-axis-row,3625,0.038,Eric Gruber,8
blank-axis-row,3625,0.038,David So,6
blank-axis-row,3625,0.038,Alicia Thomber,4
blank-axis-row,3625,0.038,Julian Isla,2
blank-axis-row,3625,0.038,Spencer Low,2
blank-axis-row,3625,0.038,Alan Steiner,1
blank-axis-row,3625,0.038,Jeff Hay,1
blank-axis-row,3625,0.015,Anne Weiler,14
blank-axis-row,3625,0.015,Alan Steiner,13
blank-axis-row,3625,0.015,Molly Clark,1
blank-axis-row,3625,0.015,Renee Lo,1
blank-axis-row,3625,0.063,Molly Clark,6
blank-axis-row,3625,0.063,Julian Isla,4
blank-axis-row,3625,0.063,Spencer Low,4
blank-axis-row,3625,0.063,Alan Steiner,3
blank-axis-row,3625,0.063,David So,3
blank-axis-row,3625,0.063,Eric Gruber,3
blank-axis-row,3625,0.063,Alicia Thomber,1
blank-axis-row,3625,0.063,Jeff Hay,1
blank-axis-row,3625,0.003,David So,5
blank-axis-row,3625,0.003,Molly Clark,5
blank-axis-row,3625,0.003,Alicia Thomber,4
blank-axis-row,3625,0.003,Jeff Hay,2
blank-axis-row,3625,0.003,Alan Steiner,1
blank-axis-row,3625,0.003,Spencer Low,1
blank-axis-row,3625,0.002,Greg Winston,7
blank-axis-row,3625,0.002,Anne Weiler,2
blank-axis-row,3625,0.062,Greg Winston,4
blank-axis-row,3625,0.062,Anne Weiler,2
blank-axis-row,3625,0.062,Renee Lo,2
blank-axis-row,3625,0.062,Sanjay Shah,1
blank-axis-row,3625,0.005,Anne Weiler,4
blank-axis-row,3625,0.005,Alan Steiner,2
blank-axis-row,3625,0.005,Molly Clark,1
blank-axis-row,3625,0.031,Sanjay Shah,7
blank-axis-row,3625,0.037,Greg Winston,4
blank-axis-row,3625,0.037,Renee Lo,3
blank-axis-row,3625,0.065,Alan Steiner,3
blank-axis-row,3625,0.065,Anne Weiler,2
blank-axis-row,3625,0.04,Alan Steiner,3
blank-axis-row,3625,0.04,Anne Weiler,1
blank-axis-row,3625,0.011,Anne Weiler,2
blank-axis-row,3625,0.011,Sanjay Shah,1
blank-axis-row,3625,0.001,Sanjay Shah,1
blank-axis-row,3625,0.036,Sanjay Shah,1
blank-axis-row,4125,0.033,Molly Clark,42
blank-axis-row,4125,0.033,David So,41
blank-axis-row,4125,0.033,Alicia Thomber,39
blank-axis-row,4125,0.033,Eric Gruber,26
blank-axis-row,4125,0.033,Spencer Low,17
blank-axis-row,4125,0.033,Jeff Hay,15
blank-axis-row,4125,0.033,Julian Isla,10
blank-axis-row,4125,0.033,Alan Steiner,8
blank-axis-row,4125,0.013,Molly Clark,41
blank-axis-row,4125,0.013,David So,36
blank-axis-row,4125,0.013,Alicia Thomber,28
blank-axis-row,4125,0.013,Eric Gruber,25
blank-axis-row,4125,0.013,Jeff Hay,13
blank-axis-row,4125,0.013,Julian Isla,10
blank-axis-row,4125,0.013,Spencer Low,9
blank-axis-row,4125,0.013,Alan Steiner,8
blank-axis-row,4125,0.013,Anne Weiler,1
blank-axis-row,4125,0.035,Anne Weiler,35
blank-axis-row,4125,0.035,Alan Steiner,17
blank-axis-row,4125,0.035,Renee Lo,5
blank-axis-row,4125,0.035,Molly Clark,4
blank-axis-row,4125,0.032,Greg Winston,32
blank-axis-row,4125,0.032,Anne Weiler,11
blank-axis-row,4125,0.032,Sanjay Shah,8
blank-axis-row,4125,0.032,Renee Lo,7
blank-axis-row,4125,0.012,Greg Winston,26
blank-axis-row,4125,0.012,Sanjay Shah,8
blank-axis-row,4125,0.012,Anne Weiler,5
blank-axis-row,4125,0.012,Renee Lo,5
blank-axis-row,4125,0.015,Alan Steiner,13
blank-axis-row,4125,0.015,Anne Weiler,13
blank-axis-row,4125,0.015,Renee Lo,1
blank-axis-row,4125,0.063,Eric Gruber,5
blank-axis-row,4125,0.063,Julian Isla,4
blank-axis-row,4125,0.063,David So,3
blank-axis-row,4125,0.063,Molly Clark,3
blank-axis-row,4125,0.063,Alicia Thomber,2
blank-axis-row,4125,0.063,Alan Steiner,1
blank-axis-row,4125,0.063,Spencer Low,1
blank-axis-row,4125,0.062,Greg Winston,5
blank-axis-row,4125,0.062,Renee Lo,2
blank-axis-row,4125,0.062,Anne Weiler,1
blank-axis-row,4125,0.062,Sanjay Shah,1
blank-axis-row,4125,0.038,Molly Clark,3
blank-axis-row,4125,0.038,Alicia Thomber,2
blank-axis-row,4125,0.038,David So,2
blank-axis-row,4125,0.031,Sanjay Shah,5
blank-axis-row,4125,0.031,Anne Weiler,1
blank-axis-row,4125,0.011,Sanjay Shah,3
blank-axis-row,4125,0.011,Anne Weiler,1
blank-axis-row,4125,0.037,Anne Weiler,1
blank-axis-row,4125,0.037,Greg Winston,1
blank-axis-row,4125,0.065,Alan Steiner,1
blank-axis-row,4125,0.065,Anne Weiler,1
blank-axis-row,4125,0.04,Anne Weiler,1
blank-axis-row,4125,0.061,Sanjay Shah,1
blank-axis-row,3875,0.033,Molly Clark,46
blank-axis-row,3875,0.033,David So,40
blank-axis-row,3875,0.033,Alicia Thomber,37
blank-axis-row,3875,0.033,Eric Gruber,25
blank-axis-row,3875,0.033,Spencer Low,12
blank-axis-row,3875,0.033,Alan Steiner,11
blank-axis-row,3875,0.033,Julian Isla,10
blank-axis-row,3875,0.033,Jeff Hay,6
blank-axis-row,3875,0.013,David So,37
blank-axis-row,3875,0.013,Molly Clark,24
blank-axis-row,3875,0.013,Alicia Thomber,21
blank-axis-row,3875,0.013,Julian Isla,15
blank-axis-row,3875,0.013,Jeff Hay,14
blank-axis-row,3875,0.013,Eric Gruber,13
blank-axis-row,3875,0.013,Spencer Low,12
blank-axis-row,3875,0.013,Alan Steiner,6
blank-axis-row,3875,0.012,Greg Winston,24
blank-axis-row,3875,0.012,Renee Lo,11
blank-axis-row,3875,0.012,Anne Weiler,10
blank-axis-row,3875,0.012,Sanjay Shah,6
blank-axis-row,3875,0.032,Greg Winston,30
blank-axis-row,3875,0.032,Sanjay Shah,8
blank-axis-row,3875,0.032,Anne Weiler,5
blank-axis-row,3875,0.032,Renee Lo,5
blank-axis-row,3875,0.035,Anne Weiler,23
blank-axis-row,3875,0.035,Alan Steiner,17
blank-axis-row,3875,0.035,Molly Clark,3
blank-axis-row,3875,0.035,Renee Lo,2
blank-axis-row,3875,0.015,Anne Weiler,20
blank-axis-row,3875,0.015,Alan Steiner,12
blank-axis-row,3875,0.015,Molly Clark,4
blank-axis-row,3875,0.015,Renee Lo,1
blank-axis-row,3875,0.063,Molly Clark,6
blank-axis-row,3875,0.063,David So,5
blank-axis-row,3875,0.063,Alicia Thomber,4
blank-axis-row,3875,0.063,Eric Gruber,4
blank-axis-row,3875,0.063,Jeff Hay,3
blank-axis-row,3875,0.063,Alan Steiner,1
blank-axis-row,3875,0.063,Spencer Low,1
blank-axis-row,3875,0.038,David So,3
blank-axis-row,3875,0.038,Eric Gruber,3
blank-axis-row,3875,0.038,Alicia Thomber,2
blank-axis-row,3875,0.038,Molly Clark,2
blank-axis-row,3875,0.038,Alan Steiner,1
blank-axis-row,3875,0.038,Jeff Hay,1
blank-axis-row,3875,0.038,Julian Isla,1
blank-axis-row,3875,0.065,Anne Weiler,10
blank-axis-row,3875,0.065,Alan Steiner,2
blank-axis-row,3875,0.065,Renee Lo,1
blank-axis-row,3875,0.011,Sanjay Shah,6
blank-axis-row,3875,0.011,Anne Weiler,5
blank-axis-row,3875,0.04,Alan Steiner,5
blank-axis-row,3875,0.04,Anne Weiler,2
blank-axis-row,3875,0.04,Renee Lo,1
blank-axis-row,3875,0.062,Greg Winston,3
blank-axis-row,3875,0.062,Anne Weiler,2
blank-axis-row,3875,0.062,Renee Lo,1
blank-axis-row,3875,0.031,Anne Weiler,4
blank-axis-row,3875,0.031,Sanjay Shah,1
blank-axis-row,3875,0.037,Greg Winston,4
blank-axis-row,4250,0.033,Molly Clark,42
blank-axis-row,4250,0.033,Alicia Thomber,37
blank-axis-row,4250,0.033,David So,37
blank-axis-row,4250,0.033,Eric Gruber,24
blank-axis-row,4250,0.033,Spencer Low,18
blank-axis-row,4250,0.033,Julian Isla,16
blank-axis-row,4250,0.033,Alan Steiner,15
blank-axis-row,4250,0.033,Jeff Hay,8
blank-axis-row,4250,0.013,David So,31
blank-axis-row,4250,0.013,Alicia Thomber,25
blank-axis-row,4250,0.013,Molly Clark,24
blank-axis-row,4250,0.013,Eric Gruber,17
blank-axis-row,4250,0.013,Spencer Low,14
blank-axis-row,4250,0.013,Alan Steiner,7
blank-axis-row,4250,0.013,Jeff Hay,7
blank-axis-row,4250,0.013,Julian Isla,5
blank-axis-row,4250,0.013,Anne Weiler,1
blank-axis-row,4250,0.032,Greg Winston,32
blank-axis-row,4250,0.032,Renee Lo,11
blank-axis-row,4250,0.032,Sanjay Shah,11
blank-axis-row,4250,0.032,Anne Weiler,6
blank-axis-row,4250,0.035,Anne Weiler,33
blank-axis-row,4250,0.035,Alan Steiner,14
blank-axis-row,4250,0.035,Molly Clark,5
blank-axis-row,4250,0.035,Renee Lo,4
blank-axis-row,4250,0.012,Greg Winston,35
blank-axis-row,4250,0.012,Anne Weiler,8
blank-axis-row,4250,0.012,Renee Lo,5
blank-axis-row,4250,0.012,Sanjay Shah,5
blank-axis-row,4250,0.015,Anne Weiler,18
blank-axis-row,4250,0.015,Alan Steiner,9
blank-axis-row,4250,0.015,Renee Lo,6
blank-axis-row,4250,0.015,Molly Clark,4
blank-axis-row,4250,0.063,David So,7
blank-axis-row,4250,0.063,Eric Gruber,3
blank-axis-row,4250,0.063,Molly Clark,3
blank-axis-row,4250,0.063,Alicia Thomber,1
blank-axis-row,4250,0.063,Jeff Hay,1
blank-axis-row,4250,0.063,Julian Isla,1
blank-axis-row,4250,0.063,Spencer Low,1
blank-axis-row,4250,0.038,Alicia Thomber,3
blank-axis-row,4250,0.038,Alan Steiner,1
blank-axis-row,4250,0.038,David So,1
blank-axis-row,4250,0.038,Eric Gruber,1
blank-axis-row,4250,0.038,Julian Isla,1
blank-axis-row,4250,0.038,Molly Clark,1
blank-axis-row,4250,0.065,Anne Weiler,5
blank-axis-row,4250,0.065,Alan Steiner,3
blank-axis-row,4250,0.031,Anne Weiler,4
blank-axis-row,4250,0.031,Sanjay Shah,3
blank-axis-row,4250,0.011,Sanjay Shah,4
blank-axis-row,4250,0.011,Anne Weiler,1
blank-axis-row,4250,0.062,Greg Winston,2
blank-axis-row,4250,0.062,Renee Lo,1
blank-axis-row,4250,0.037,Greg Winston,1
blank-axis-row,4250,0.04,Anne Weiler,1
blank-axis-row,4250,0.061,Anne Weiler,1
blank-axis-row,3750,0.033,David So,37
blank-axis-row,3750,0.033,Molly Clark,34
blank-axis-row,3750,0.033,Alicia Thomber,33
blank-axis-row,3750,0.033,Eric Gruber,31
blank-axis-row,3750,0.033,Spencer Low,13
blank-axis-row,3750,0.033,Alan Steiner,12
blank-axis-row,3750,0.033,Jeff Hay,12
blank-axis-row,3750,0.033,Julian Isla,12
blank-axis-row,3750,0.013,Eric Gruber,29
blank-axis-row,3750,0.013,Molly Clark,29
blank-axis-row,3750,0.013,Alicia Thomber,27
