Orders.Sub-Category,Orders.Ship Mode,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),Min(Orders.Product Name)
Storage,Second Class,5434.313199999993,670,0,48469.372,2300 Heavy-Duty Transfer File Systems by Perma
Storage,Standard Class,11852.0534,1851,0,140250.752,2300 Heavy-Duty Transfer File Systems by Perma
Appliances,First Class,3543.8611,253,5,15726.024,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Appliances,Same Day,1091.6577,77,3,6270.592,"Belkin 325VA UPS Surge Protector, 6'"
Appliances,Second Class,4906.695699999998,324,12,26538.239,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Appliances,Standard Class,8595.79090000001,1075,47,58997.306,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Furnishings,First Class,2093.0965000000006,540,17,13157.956,24-Hour Round Wall Clock
Furnishings,Same Day,398.56179999999983,189,10,4874.134,12-1/2 Diameter Round Wall Clock
Furnishings,Second Class,1808.7125999999998,648,33,15416.006,12-1/2 Diameter Round Wall Clock
Furnishings,Standard Class,8758.772699999994,2186,78,58257.068,12-1/2 Diameter Round Wall Clock
Envelopes,First Class,1001.5960999999999,114,0,2563.456,"#10 White Business Envelopes,4 1/8 x 9 1/2"
Envelopes,Same Day,348.81479999999993,58,0,790.476,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Envelopes,Second Class,1280.4035000000006,186,0,2847.608,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Envelopes,Standard Class,4333.362299999999,548,0,10274.862,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Art,First Class,750.35,414,0,3470.088,4009 Highlighters by Sanford
Art,Same Day,403.4431,133,0,1437.476,12 Colored Short Pencils
Art,Second Class,1299.1289,585,0,5270.03,4009 Highlighters by Sanford
Art,Standard Class,4074.864999999998,1868,0,16941.198,12 Colored Short Pencils
Labels,First Class,804.7151999999999,250,0,1835.98,Alphabetical Labels for Top Tab Filing
Labels,Same Day,245.56420000000006,68,0,566.448,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White"
Labels,Second Class,1466.7880999999993,252,0,3352.534,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll"
Labels,Standard Class,3029.1865000000003,830,0,6731.35,Alphabetical Labels for Top Tab Filing
Machines,First Class,-1603.4990000000003,76,9,24153.401,Cisco 8961 IP Phone Charcoal
Machines,Same Day,438.77079999999944,35,2,22798.537,Ativa V4110MDD Micro-Cut Shredder
Machines,Second Class,2157.029899999999,43,2,22493.7,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner"
Machines,Standard Class,2392.4552,286,10,119792.993,"3D Systems Cube Printer, 2nd Generation, Magenta"
Fasteners,First Class,127.07520000000002,106,0,357.598,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes"
Fasteners,Same Day,46.1181,53,0,139.752,Acco Hot Clips Clips to Go
Fasteners,Second Class,158.0298,168,0,478.018,"Acco Banker's Clasps, 5 3/4""-Long"
Fasteners,Standard Class,618.2950999999997,587,0,2048.912,"Acco Banker's Clasps, 5 3/4""-Long"
Supplies,First Class,113.10619999999999,74,0,3568.294,"Acme 10"" Easy Grip Assistive Scissors"
Supplies,Same Day,78.94019999999999,34,0,510.31,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L"
Supplies,Second Class,-505.56239999999974,152,0,29378.41,Acme Box Cutter Scissors
Supplies,Standard Class,-875.5834999999996,387,0,13216.524,Acco Side-Punched Conventional Columnar Pads
Bookcases,First Class,-305.9975000000003,187,4,21065.3189,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
Bookcases,Same Day,392.56559999999996,19,0,2970.582,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
Bookcases,Second Class,-1028.0213000000006,175,3,22307.2129,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
Bookcases,Standard Class,-2531.1028000000006,487,8,68536.8825,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
Tables,First Class,-1365.3665000000003,176,0,28800.776,Balt Solid Wood Rectangular Table
Tables,Same Day,-1129.4225,85,0,9644.347,Anderson Hickey Conga Table Tops & Accessories
Tables,Second Class,-3320.6798999999996,257,0,43693.7475,Anderson Hickey Conga Table Tops & Accessories
Tables,Standard Class,-11910.012199999997,723,0,124826.6615,Balt Solid Wood Rectangular Table
