financials.Product,financials.Segment,financials.Discount Band,financials.Country,Sum(financials.COGS)
Amarilla,Midmarket,Medium,Canada,16305
Amarilla,Midmarket,Medium,Germany,16810
Amarilla,Midmarket,None,United States of America,6150
Amarilla,Channel Partners,High,Canada,18844.5
Amarilla,Channel Partners,High,France,11604
Amarilla,Channel Partners,High,Germany,14448
Amarilla,Channel Partners,High,Mexico,1230
Amarilla,Channel Partners,High,United States of America,14787
Amarilla,Channel Partners,Low,United States of America,5967
Amarilla,Channel Partners,Medium,France,918
Amarilla,Channel Partners,Medium,Mexico,7494
Amarilla,Channel Partners,None,United States of America,12282
Montana,Government,High,Canada,659250
Montana,Government,High,France,1465
Montana,Government,High,Germany,540820
Montana,Government,High,Mexico,67275
Montana,Government,High,United States of America,889940
Montana,Government,Low,Canada,23405
Montana,Government,Low,France,16475
Montana,Government,Low,Germany,477010
Montana,Government,Low,United States of America,15660
Montana,Government,Medium,Canada,17575
Montana,Government,Medium,France,837475
Montana,Government,Medium,Germany,391845
Montana,Government,Medium,Mexico,442000
Montana,Government,Medium,United States of America,12820
Montana,Government,None,France,18990
Montana,Government,None,Germany,10730
Montana,Midmarket,High,Canada,23000
Montana,Midmarket,High,France,20720
Montana,Midmarket,High,Mexico,21570
Montana,Midmarket,High,United States of America,6770
Montana,Midmarket,Low,Canada,19670
Montana,Midmarket,Low,Mexico,42450
Montana,Midmarket,Medium,France,25010
Montana,Midmarket,Medium,Germany,7110
Montana,Midmarket,None,Germany,9210
Montana,Midmarket,None,Mexico,24700
Montana,Midmarket,None,United States of America,6150
Montana,Small Business,High,France,739750
Montana,Small Business,High,Mexico,136500
Montana,Small Business,Low,Germany,970000
Montana,Small Business,Low,United States of America,1199750
Montana,Small Business,Medium,Canada,1271375
Montana,Small Business,Medium,France,1016250
Montana,Small Business,Medium,Germany,83500
Montana,Small Business,Medium,Mexico,275000
Montana,Small Business,None,Mexico,239500
Montana,Channel Partners,High,Mexico,9795
Montana,Channel Partners,Low,France,5703
Montana,Channel Partners,Low,Mexico,2070
Montana,Channel Partners,Low,United States of America,3426
Montana,Channel Partners,Medium,Canada,6963
Montana,Channel Partners,Medium,France,7026
Montana,Channel Partners,Medium,Germany,7026
Montana,Channel Partners,Medium,Mexico,7020
Montana,Channel Partners,Medium,United States of America,8169
Montana,Channel Partners,None,Canada,7554
Montana,Channel Partners,None,Germany,4635
Montana,Enterprise,High,United States of America,216480
Montana,Enterprise,Low,France,154440
Montana,Enterprise,Low,Germany,204720
Montana,Enterprise,Low,Mexico,335760
Montana,Enterprise,Low,United States of America,79560
Montana,Enterprise,Medium,France,222840
Montana,Enterprise,Medium,Germany,300000
Montana,Enterprise,Medium,United States of America,770880
Montana,Enterprise,None,Canada,361260
Carretera,Government,High,Canada,239980
Carretera,Government,High,France,490615
Carretera,Government,High,Germany,211740
Carretera,Government,High,Mexico,269680
Carretera,Government,High,United States of America,32410
Carretera,Government,Low,Canada,764085
Carretera,Government,Low,France,571025
Carretera,Government,Low,Germany,25800
Carretera,Government,Low,Mexico,677820
Carretera,Government,Low,United States of America,83885
Carretera,Government,Medium,Canada,4095
Carretera,Government,Medium,France,28065
Carretera,Government,Medium,Germany,11710
Carretera,Government,Medium,Mexico,375065
Carretera,Government,Medium,United States of America,473200
Carretera,Government,None,Canada,16185
Carretera,Government,None,Germany,406590
Carretera,Small Business,High,Canada,374000
Carretera,Small Business,High,Germany,702750
Carretera,Small Business,High,Mexico,200250
Carretera,Small Business,High,United States of America,252500
Carretera,Small Business,Low,Germany,731000
Carretera,Small Business,Low,Mexico,123500
Carretera,Small Business,Medium,Canada,273500
Carretera,Small Business,Medium,France,657250
Carretera,Small Business,Medium,United States of America,247750
Carretera,Enterprise,High,Canada,289920
Carretera,Enterprise,High,France,734400
Carretera,Enterprise,High,Germany,462240
Carretera,Enterprise,High,Mexico,597240
Carretera,Enterprise,High,United States of America,413460
Carretera,Enterprise,Low,Canada,89100
Carretera,Enterprise,Low,France,509220
Carretera,Enterprise,Low,United States of America,39600
Carretera,Enterprise,Medium,Germany,106440
Carretera,Enterprise,Medium,Mexico,184800
Carretera,Midmarket,High,Canada,65490
Carretera,Midmarket,High,Germany,15130
Carretera,Midmarket,High,United States of America,25670
Carretera,Midmarket,Medium,Canada,28440
Carretera,Midmarket,Medium,France,4900
Carretera,Midmarket,Medium,Mexico,27910
Carretera,Midmarket,Medium,United States of America,20300
Carretera,Midmarket,None,France,21780
Carretera,Midmarket,None,Germany,8880
Carretera,Midmarket,None,Mexico,24700
Carretera,Channel Partners,High,Canada,5811
Carretera,Channel Partners,High,France,3594
Carretera,Channel Partners,High,United States of America,1158
Carretera,Channel Partners,Low,Canada,10944
Carretera,Channel Partners,Low,France,8013
Carretera,Channel Partners,Low,Germany,2298
Carretera,Channel Partners,Low,United States of America,11415
Carretera,Channel Partners,Medium,Canada,12549
Carretera,Channel Partners,Medium,France,5595
Carretera,Channel Partners,Medium,Germany,8088
Carretera,Channel Partners,Medium,Mexico,4968
