financials.Country,financials.COGS,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit)
Canada,114240,None,,
Canada,143520,High,,
Canada,143520,Low,,
Canada,143520,Medium,183540,40020
Canada,143520,None,,
Canada,161980,High,191884,29904
Canada,161980,Low,,
Canada,161980,Medium,,
Canada,161980,None,,
Canada,182000,High,210700,28700
Canada,182000,Low,,
Canada,182000,Medium,,
Canada,182000,None,,
Canada,183820,High,222705,38885
Canada,183820,Low,,
Canada,183820,Medium,,
Canada,183820,None,,
Canada,189960,High,344302.5,-35617.5
Canada,189960,Low,,
Canada,189960,Medium,,
Canada,189960,None,,
Canada,197400,High,,
Canada,197400,Low,,
Canada,197400,Medium,191231.25,-6168.75
Canada,197400,None,,
Canada,199080,High,180416.25,-18663.75
Canada,199080,Low,,
Canada,199080,Medium,,
Canada,199080,None,,
Canada,212880,High,,
Canada,212880,Low,215097.5,2217.5
Canada,212880,Medium,,
Canada,212880,None,,
Canada,218250,High,233091,14841
Canada,218250,Low,,
Canada,218250,Medium,,
Canada,218250,None,,
Canada,222000,High,229104,7104
Canada,222000,Low,,
Canada,222000,Medium,,
Canada,222000,None,,
Canada,229920,High,215550,-14370
Canada,229920,Low,,
Canada,229920,Medium,,
Canada,229920,None,,
Canada,239980,High,281053.5,41073.5
Canada,239980,Low,,
Canada,239980,Medium,,
Canada,239980,None,,
Canada,241080,High,,
Canada,241080,Low,487182.5,5022.5
Canada,241080,Medium,,
Canada,241080,None,,
Canada,245310,High,,
Canada,245310,Low,326922.75,81612.75
Canada,245310,Medium,,
Canada,245310,None,,
Canada,273500,High,,
Canada,273500,Low,,
Canada,273500,Medium,597324,50324
Canada,273500,None,,
Canada,289920,High,265760,-24160
Canada,289920,Low,,
Canada,289920,Medium,,
Canada,289920,None,,
Canada,303480,High,284512.5,-18967.5
Canada,303480,Low,,
Canada,303480,Medium,,
Canada,303480,None,,
Canada,319280,High,,
Canada,319280,Low,,
Canada,319280,Medium,816620,178060
Canada,319280,None,,
Canada,319860,High,,
Canada,319860,Low,,
Canada,319860,Medium,,
Canada,319860,None,333187.5,13327.5
Canada,320750,High,,
Canada,320750,Low,,
Canada,320750,Medium,354108,33358
Canada,320750,None,,
Canada,327480,High,,
Canada,327480,Low,668605,13645
Canada,327480,Medium,,
Canada,327480,None,,
Canada,329940,High,,
Canada,329940,Low,,
Canada,329940,Medium,808353,148473
Canada,329940,None,,
Canada,341500,High,364722,23222
Canada,341500,Low,,
Canada,341500,Medium,,
Canada,341500,None,,
Canada,351000,High,,
Canada,351000,Low,,
Canada,351000,Medium,391716,40716
Canada,351000,None,,
Canada,354480,High,313862.5,-40617.5
Canada,354480,Low,,
Canada,354480,Medium,,
Canada,354480,None,,
Canada,374000,High,771936,23936
Canada,374000,Low,,
Canada,374000,Medium,,
Canada,374000,None,,
Canada,425500,High,,
Canada,425500,Low,,
Canada,425500,Medium,474858,49358
Canada,425500,None,,
Canada,448500,High,,
Canada,448500,Low,,
Canada,448500,Medium,,
Canada,448500,None,603750,155250
Canada,462280,High,,
Canada,462280,Low,597408,135128
Canada,462280,Medium,,
Canada,462280,None,,
Canada,468500,High,,
Canada,468500,Low,545334,76834
Canada,468500,Medium,,
Canada,468500,None,,
Canada,479000,High,,
Canada,479000,Low,1126608,168608
Canada,479000,Medium,,
Canada,479000,None,,
Canada,500250,High,,
Canada,500250,Low,,
Canada,500250,Medium,,
Canada,500250,None,600300,100050
Canada,533500,High,,
Canada,533500,Low,,
Canada,533500,Medium,588984,55484
Canada,533500,None,,
Canada,547170,High,655551.75,108381.75
Canada,547170,Low,,
Canada,547170,Medium,,
Canada,547170,None,,
Canada,579150,High,670477.5,91327.5
Canada,579150,Low,,
Canada,579150,Medium,,
Canada,579150,None,,
Canada,582400,High,705600,123200
Canada,582400,Low,,
Canada,582400,Medium,,
Canada,582400,None,,
Canada,609000,High,,
Canada,609000,Low,,
Canada,609000,Medium,686952,77952
Canada,609000,None,,
Canada,684320,High,1602888,234248
Canada,684320,Low,,
Canada,684320,Medium,,
Canada,684320,None,,
Canada,741520,High,,
Canada,741520,Low,1956472,473432
Canada,741520,Medium,,
Canada,741520,None,,
Canada,948375,High,,
Canada,948375,Low,,
Canada,948375,Medium,1035625.5,87250.5
Canada,948375,None,,
Canada,950625,High,,
Canada,950625,Low,,
Canada,950625,Medium,1038082.5,87457.5
Canada,950625,None,,
France,918,High,,
France,918,Low,,
France,918,Medium,3341.52,2423.52
France,918,None,,
France,1465,High,1763.8600000000001,298.8600000000001
France,1465,Low,,
France,1465,Medium,,
France,1465,None,,
France,2598,High,,
France,2598,Low,9976.32,7378.32
France,2598,Medium,,
France,2598,None,,
France,2720,High,,
France,2720,Low,3693.76,973.7600000000002
France,2720,Medium,,
France,2720,None,,
France,2930,High,9962,4102
France,2930,Low,,
France,2930,Medium,,
France,2930,None,,
France,3165,High,,
France,3165,Low,24813.6,18483.6
France,3165,Medium,,
France,3165,None,,
France,3195,High,,
France,3195,Low,4428.27,1233.2700000000004
France,3195,Medium,,
France,3195,None,,
France,3210,High,,
France,3210,Low,4766.85,1556.8500000000004
France,3210,Medium,,
France,3210,None,,
France,3594,High,25589.28,18401.28
France,3594,Low,,
France,3594,Medium,,
France,3594,None,,
France,4179,High,28751.52,20393.52
France,4179,Low,,
France,4179,Medium,,
France,4179,None,,
France,4900,High,,
France,4900,Low,,
France,4900,Medium,6762,1862
France,4900,None,,
France,5150,High,,
France,5150,Low,7137.9,1987.8999999999996
France,5150,Medium,,
France,5150,None,,
France,5155,High,,
France,5155,Low,,
France,5155,Medium,6711.81,1556.8100000000004
France,5155,None,,
France,5202,High,18519.12,13317.119999999999
France,5202,Low,,
France,5202,Medium,,
France,5202,None,,
France,5215.5,High,,
France,5215.5,Low,,
France,5215.5,Medium,19401.66,14186.16
France,5215.5,None,,
France,5355,High,,
France,5355,Low,20991.6,15636.599999999999
France,5355,Medium,,
France,5355,None,,
France,5490,High,,
France,5490,Low,,
France,5490,Medium,,
France,5490,None,8235,2745
France,5595,High,,
France,5595,Low,,
France,5595,Medium,21261,15666
France,5595,None,,
France,5703,High,,
France,5703,Low,44255.28,32849.28
France,5703,Medium,,
France,5703,None,,
France,5901,High,,
France,5901,Low,,
France,5901,Medium,21479.64,15578.64
France,5901,None,,
France,5950,High,14494.2,2594.2000000000007
France,5950,Low,,
France,5950,Medium,,
France,5950,None,,
France,6702,High,,
France,6702,Low,,
France,6702,Medium,24395.28,17693.28
France,6702,None,,
France,7015,High,,
France,7015,Low,,
France,7015,Medium,18463.48,4433.48
France,7015,None,,
France,7026,High,,
France,7026,Low,,
France,7026,Medium,26136.72,19110.72
France,7026,None,,
France,7276.5,High,25904.340000000004,18627.840000000004
France,7276.5,Low,,
France,7276.5,Medium,,
France,7276.5,None,,
France,7425,High,25542,18117
France,7425,Low,,
France,7425,Medium,,
France,7425,None,,
France,7455,High,9184.56,1729.5599999999995
France,7455,Low,,
France,7455,Medium,,
France,7455,None,,
France,8013,High,,
France,8013,Low,31731.48,23718.48
France,8013,Medium,,
France,8013,None,,
France,8655,High,20841.239999999998,3531.239999999998
France,8655,Low,,
France,8655,Medium,,
France,8655,None,,
France,9410,High,,
France,9410,Low,18443.6,9033.599999999999
France,9410,Medium,,
France,9410,None,,
France,10330,High,,
France,10330,Low,,
France,10330,Medium,19627,9297
France,10330,None,,
France,10680,High,,
France,10680,Low,,
France,10680,Medium,14204.4,3524.3999999999996
France,10680,None,,
France,10725,High,,
France,10725,Low,14714.7,3989.7000000000007
France,10725,Medium,,
France,10725,None,,
France,12270,High,,
France,12270,Low,,
France,12270,Medium,33497.1,8957.099999999999
France,12270,None,,
France,12435,High,,
France,12435,Low,,
France,12435,Medium,33077.1,8207.099999999999
France,12435,None,,
France,12660,High,15774.36,3114.3599999999997
France,12660,Low,,
France,12660,Medium,,
France,12660,None,,
France,13030,High,,
France,13030,Low,,
France,13030,Medium,24757,11727
France,13030,None,,
France,13480,High,16418.64,2938.6399999999994
France,13480,Low,,
France,13480,Medium,,
France,13480,None,,
France,13755,High,,
France,13755,Low,27234.899999999998,13479.899999999998
France,13755,Medium,,
France,13755,None,,
France,15350,High,,
France,15350,Low,,
France,15350,Medium,28551,13201
France,15350,None,,
France,15630,High,,
France,15630,Low,,
France,15630,Medium,29697,14067
France,15630,None,,
France,15790,High,,
France,15790,Low,,
France,15790,Medium,30001,14211
France,15790,None,,
France,17107.5,High,21076.44,3968.9399999999987
France,17107.5,Low,,
France,17107.5,Medium,,
France,17107.5,None,,
France,17570,High,,
France,17570,Low,,
France,17570,Medium,66063.2,30923.199999999997
France,17570,None,,
France,18990,High,,
France,18990,Low,,
France,18990,Medium,,
France,18990,None,75960,37980
France,19540,High,35172,15632
France,19540,Low,,
France,19540,Medium,,
France,19540,None,,
France,19725,High,,
France,19725,Low,27338.850000000002,7613.850000000002
France,19725,Medium,,
France,19725,None,,
France,19760,High,,
France,19760,Low,,
France,19760,Medium,73507.2,33987.2
France,19760,None,,
France,20720,High,55944,14504
France,20720,Low,,
France,20720,Medium,,
France,20720,None,,
France,21010,High,,
France,21010,Low,,
France,21010,Medium,29308.95,8298.95
France,21010,None,,
France,21670,High,58509,15169
France,21670,Low,,
France,21670,Medium,,
France,21670,None,,
France,21780,High,,
France,21780,Low,,
France,21780,Medium,,
France,21780,None,65340,21780
France,22610,High,,
France,22610,Low,32558.4,9948.400000000001
France,22610,Medium,,
France,22610,None,,
France,22960,High,,
France,22960,Low,34095.6,11135.599999999999
France,22960,Medium,,
France,22960,None,,
France,25010,High,,
France,25010,Low,,
France,25010,Medium,34513.8,9503.800000000003
France,25010,None,,
France,25215,High,44378.399999999994,19163.399999999998
France,25215,Low,,
France,25215,Medium,,
France,25215,None,,
France,26200,High,,
France,26200,Low,,
France,26200,Medium,37335,11135
France,26200,None,,
France,26820,High,,
France,26820,Low,,
France,26820,Medium,48812.4,21992.4
France,26820,None,,
France,28050,High,49929,21879
France,28050,Low,,
France,28050,Medium,,
France,28050,None,,
France,28260,High,36031.5,7771.5
France,28260,Low,,
France,28260,Medium,,
France,28260,None,,
France,38010,High,,
France,38010,Low,,
France,38010,Medium,53594.100000000006,15584.100000000002
France,38010,None,,
France,38640,High,,
France,38640,Low,76507.20000000001,37867.200000000004
France,38640,Medium,,
France,38640,None,,
France,38745,High,51143.399999999994,12398.399999999998
France,38745,Low,,
France,38745,Medium,,
France,38745,None,,
France,39975,High,52167.375,12192.375
France,39975,Low,,
France,39975,Medium,,
France,39975,None,,
France,79560,High,70443.75,-9116.25
France,79560,Low,,
France,79560,Medium,,
France,79560,None,,
France,80500,High,,
France,80500,Low,,
France,80500,Medium,87906,7406
France,80500,None,,
France,84480,High,,
France,84480,Low,,
France,84480,Medium,167200,-1760
France,84480,None,,
France,94440,High,,
France,94440,Low,194782.5,5902.5
France,94440,Medium,,
France,94440,None,,
France,96500,High,,
France,96500,Low,,
France,96500,Medium,106536,10036
France,96500,None,,
France,99060,High,,
France,99060,Low,,
France,99060,Medium,122682,23622
France,99060,None,,
France,112000,High,,
France,112000,Low,,
France,112000,Medium,249984,25984
France,112000,None,,
France,122760,High,109972.5,-12787.5
France,122760,Low,,
France,122760,Medium,,
France,122760,None,,
France,140880,High,124737.5,-16142.5
France,140880,Low,,
France,140880,Medium,,
France,140880,None,,
France,149370,High,,
France,149370,Low,,
France,149370,Medium,184989,35619
France,149370,None,,
France,154440,High,,
France,154440,Low,312097.5,3217.5
France,154440,Medium,,
France,154440,None,,
France,166140,High,201285,35145
France,166140,Low,,
France,166140,Medium,,
France,166140,None,,
France,171960,High,159421.25,-12538.75
France,171960,Low,,
France,171960,Medium,,
France,171960,None,,
France,177840,High,166725,-11115
France,177840,Low,,
France,177840,Medium,,
France,177840,None,,
France,209280,High,,
France,209280,Low,215820,6540
France,209280,Medium,,
France,209280,None,,
France,213250,High,460620,34120
France,213250,Low,,
France,213250,Medium,,
France,213250,None,,
France,216480,High,,
France,216480,Low,,
France,216480,Medium,,
France,216480,None,225500,9020
France,222840,High,,
France,222840,Low,,
France,222840,Medium,211233.75,-11606.25
France,222840,None,,
France,229500,High,,
France,229500,Low,269892,40392
France,229500,Medium,,
France,229500,None,,
France,238500,High,,
France,238500,Low,,
France,238500,Medium,233531.25,-4968.75
France,238500,None,,
France,239750,High,,
France,239750,Low,,
France,239750,Medium,267561,27811
France,239750,None,,
France,286200,High,,
France,286200,Low,,
France,286200,Medium,283218.75,-2981.25
France,286200,None,,
France,292920,High,543122.5,-42717.5
France,292920,Low,,
France,292920,Medium,,
France,292920,None,,
France,296500,High,313104,16604
France,296500,Low,,
France,296500,Medium,,
France,296500,None,,
France,305250,High,,
France,305250,Low,,
France,305250,Medium,688644,78144
France,305250,None,,
France,331000,High,,
France,331000,Low,,
France,331000,Medium,361452,30452
France,331000,None,,
France,333060,High,385581,52521
France,333060,Low,,
France,333060,Medium,,
France,333060,None,,
France,358560,High,,
France,358560,Low,358560,0
France,358560,Medium,,
France,358560,None,,
France,359970,High,,
France,359970,Low,,
France,359970,Medium,460346.25,100376.25
France,359970,None,,
France,388960,High,,
France,388960,Low,,
France,388960,Medium,984368,206448
France,388960,None,,
France,390500,High,,
France,390500,Low,,
France,390500,Medium,431112,40612
France,390500,None,,
France,397020,High,,
France,397020,Low,,
France,397020,Medium,,
France,397020,None,534450,137430
France,414440,High,490952,76512
France,414440,Low,,
France,414440,Medium,,
France,414440,None,,
France,414750,High,,
France,414750,Low,,
France,414750,Medium,462861,48111
France,414750,None,,
France,433160,High,,
France,433160,Low,,
France,433160,Medium,530621,97461
France,433160,None,,
France,443250,High,468072,24822
France,443250,Low,,
France,443250,Medium,,
France,443250,None,,
France,465400,High,545055,79655
France,465400,Low,,
France,465400,Medium,,
France,465400,None,,
France,499720,High,578522,78802
France,499720,Low,,
France,499720,Medium,,
France,499720,None,,
France,509220,High,,
France,509220,Low,514524.375,5304.375
France,509220,Medium,,
France,509220,None,,
France,537750,High,,
France,537750,Low,,
France,537750,Medium,,
France,537750,None,645300,107550
France,539760,High,,
France,539760,Low,,
France,539760,Medium,1366008,286488
France,539760,None,,
France,545250,High,,
France,545250,Low,,
France,545250,Medium,1216998,126498
France,545250,None,,
France,560300,High,,
France,560300,Low,1493415,372815
France,560300,Medium,,
France,560300,None,,
France,566020,High,,
France,566020,Low,1462944,330904
France,566020,Medium,,
France,566020,None,,
France,608625,High,,
France,608625,Low,708439.5,99814.5
France,608625,Medium,,
France,608625,None,,
France,618750,High,631125,12375
France,618750,Low,,
France,618750,Medium,,
France,618750,None,,
France,715000,High,,
France,715000,Low,,
France,715000,Medium,,
France,715000,None,962500,247500
France,747760,High,,
France,747760,Low,,
France,747760,Medium,936138,188378
France,747760,None,,
Germany,1101,High,,
Germany,1101,Low,,
Germany,1101,Medium,,
Germany,1101,None,4404,3303
Germany,1315,High,,
Germany,1315,Low,1822.59,507.5899999999999
Germany,1315,Medium,,
Germany,1315,None,,
Germany,1400,High,3371.2,571.1999999999998
Germany,1400,Low,,
Germany,1400,Medium,,
Germany,1400,None,,
Germany,1416,High,10081.92,7249.92
Germany,1416,Low,,
Germany,1416,Medium,,
Germany,1416,None,,
Germany,1800,High,,
Germany,1800,Low,,
Germany,1800,Medium,4586.4,986.3999999999996
Germany,1800,None,,
Germany,2298,High,,
Germany,2298,Low,18200.16,13604.16
Germany,2298,Medium,,
Germany,2298,None,,
Germany,2410,High,8676,3856
Germany,2410,Low,,
Germany,2410,Medium,,
Germany,2410,None,,
Germany,2640,High,,
Germany,2640,Low,,
Germany,2640,Medium,9609.6,6969.6
Germany,2640,None,,
Germany,2780,High,3586.2,806.1999999999998
Germany,2780,Low,,
Germany,2780,Medium,,
Germany,2780,None,,
Germany,3039,High,21151.44,15073.439999999999
Germany,3039,Low,,
Germany,3039,Medium,,
Germany,3039,None,,
Germany,3348,High,,
Germany,3348,Low,,
Germany,3348,Medium,12722.4,9374.4
Germany,3348,None,,
Germany,4420,High,7690.8,3270.8
Germany,4420,Low,,
Germany,4420,Medium,,
Germany,4420,None,,
Germany,4635,High,,
Germany,4635,Low,,
Germany,4635,Medium,,
Germany,4635,None,37080,27810
Germany,4740,High,,
Germany,4740,Low,,
Germany,4740,Medium,17253.6,12513.599999999999
Germany,4740,None,,
Germany,4920,High,6273,1353
Germany,4920,Low,,
Germany,4920,Medium,,
Germany,4920,None,,
Germany,5080,High,,
Germany,5080,Low,,
Germany,5080,Medium,6756.4,1676.3999999999996
Germany,5080,None,,
Germany,5100,High,6885,1785
Germany,5100,Low,,
Germany,5100,Medium,,
Germany,5100,None,,
Germany,5310,High,18478.8,13168.8
Germany,5310,Low,,
Germany,5310,Medium,,
Germany,5310,None,,
Germany,5325,High,,
Germany,5325,Low,,
Germany,5325,Medium,19383,14058
Germany,5325,None,,
Germany,5475,High,,
Germany,5475,Low,,
Germany,5475,Medium,7051.8,1576.8000000000002
Germany,5475,None,,
Germany,5795,High,,
Germany,5795,Low,,
Germany,5795,Medium,15414.7,3824.7000000000007
Germany,5795,None,,
Germany,5880,High,,
Germany,5880,Low,,
Germany,5880,Medium,10936.8,5056.799999999999
Germany,5880,None,,
Germany,6295,High,,
Germany,6295,Low,,
Germany,6295,Medium,8107.96,1812.96
Germany,6295,None,,
Germany,6450,High,,
Germany,6450,Low,,
Germany,6450,Medium,11868,5418
Germany,6450,None,,
Germany,6483,High,,
Germany,6483,Low,,
Germany,6483,Medium,,
Germany,6483,None,25932,19449
Germany,6600,High,8613,2013
Germany,6600,Low,,
Germany,6600,Medium,,
Germany,6600,None,,
Germany,6630,High,,
Germany,6630,Low,,
Germany,6630,Medium,12066.6,5436.6
Germany,6630,None,,
Germany,6645,High,,
Germany,6645,Low,,
Germany,6645,Medium,24719.4,18074.4
Germany,6645,None,,
Germany,6810,High,9193.5,2383.5
Germany,6810,Low,,
Germany,6810,Medium,,
Germany,6810,None,,
Germany,6860,High,,
Germany,6860,Low,,
Germany,6860,Medium,9123.8,2263.7999999999993
Germany,6860,None,,
Germany,7026,High,,
Germany,7026,Low,,
Germany,7026,Medium,26698.8,19672.8
Germany,7026,None,,
Germany,7110,High,,
Germany,7110,Low,,
Germany,7110,Medium,19623.6,5403.5999999999985
Germany,7110,None,,
Germany,7437,High,,
Germany,7437,Low,28855.56,21418.56
Germany,7437,Medium,,
Germany,7437,None,,
Germany,7470,High,,
Germany,7470,Low,11092.95,3622.9500000000007
Germany,7470,Medium,,
Germany,7470,None,,
Germany,7722,High,27799.2,20077.2
Germany,7722,Low,,
Germany,7722,Medium,,
Germany,7722,None,,
Germany,7990,High,,
Germany,7990,Low,,
Germany,7990,Medium,10291.12,2301.120000000001
Germany,7990,None,,
Germany,8430,High,,
Germany,8430,Low,,
Germany,8430,Medium,,
Germany,8430,None,11802,3372
Germany,8514,High,,
Germany,8514,Low,,
Germany,8514,Medium,,
Germany,8514,None,34056,25542
Germany,8880,High,,
Germany,8880,Low,,
Germany,8880,Medium,,
Germany,8880,None,26640,8880
Germany,9210,High,,
Germany,9210,Low,,
Germany,9210,Medium,,
Germany,9210,None,13815,4605
Germany,9700,High,,
Germany,9700,Low,,
Germany,9700,Medium,13240.5,3540.5
Germany,9700,None,,
Germany,9790,High,,
Germany,9790,Low,13294.82,3504.8199999999997
Germany,9790,Medium,,
Germany,9790,None,,
Germany,10010,High,,
Germany,10010,Low,,
Germany,10010,Medium,18818.8,8808.8
Germany,10010,None,,
Germany,10625,High,,
Germany,10625,Low,,
Germany,10625,Medium,13833.75,3208.75
Germany,10625,None,,
Germany,10730,High,,
Germany,10730,Low,,
Germany,10730,Medium,,
Germany,10730,None,15022,4292
Germany,11580,High,19686,8106
Germany,11580,Low,,
Germany,11580,Medium,,
Germany,11580,None,,
Germany,11690,High,,
Germany,11690,Low,,
