financials.Country,financials.COGS,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit)
Canada,2180,Low,3139.2,959.1999999999998
Canada,950625,Medium,1038082.5,87457.5
Canada,948375,Medium,1035625.5,87250.5
Canada,319280,Medium,816620,178060
Canada,329940,Medium,808353,148473
Canada,609000,Medium,686952,77952
Canada,273500,Medium,597324,50324
Canada,533500,Medium,588984,55484
Canada,425500,Medium,474858,49358
Canada,351000,Medium,391716,40716
Canada,320750,Medium,354108,33358
Canada,197400,Medium,191231.25,-6168.75
Canada,143520,Medium,183540,40020
Canada,114240,Medium,111860,-2380
Canada,28440,Medium,80200.8,23320.800000000003
Canada,68040,Medium,64496.25,-3543.75
Canada,7293,Medium,55426.8,40840.8
Canada,13890,Medium,52782,25002
Canada,6897,Medium,51865.44,38071.44
Canada,9733.5,Medium,36208.62,26475.120000000003
Canada,18020,Medium,34238,16218
Canada,7080,Medium,26054.4,11894.400000000001
Canada,6963,Medium,25345.32,18382.32
Canada,16305,Medium,22256.324999999997,5951.324999999999
Canada,5652,Medium,21025.44,15373.439999999999
Canada,11180,Medium,20794.8,9614.8
Canada,7910,Medium,20597.64,4777.639999999999
Canada,12620,Medium,17604.9,4984.9000000000015
Canada,11745,Medium,15620.85,3875.8500000000004
Canada,5675,Medium,14777.7,3427.7000000000007
Canada,8055,Medium,10262.07,2207.0699999999997
Canada,1794,Medium,6601.92,4807.92
Canada,4095,Medium,5217.03,1122.03
Canada,2440,Medium,3142.7200000000003,702.7200000000003
Canada,1285,Medium,1655.08,370.0799999999999
Canada,448500,None,603750,155250
Canada,500250,None,600300,100050
Canada,319860,None,333187.5,13327.5
Canada,41400,None,86250,3450
Canada,18170,None,72680,36340
Canada,7554,None,60432,45324
Canada,16185,None,32370,16185
Canada,21520,None,32280,10760
Canada,2920,None,5840,2920
France,618750,High,631125,12375
France,499720,High,578522,78802
France,465400,High,545055,79655
France,292920,High,543122.5,-42717.5
France,414440,High,490952,76512
France,443250,High,468072,24822
France,213250,High,460620,34120
France,333060,High,385581,52521
France,296500,High,313104,16604
France,166140,High,201285,35145
France,177840,High,166725,-11115
France,171960,High,159421.25,-12538.75
France,140880,High,124737.5,-16142.5
France,122760,High,109972.5,-12787.5
France,79560,High,70443.75,-9116.25
France,21670,High,58509,15169
France,20720,High,55944,14504
France,39975,High,52167.375,12192.375
France,38745,High,51143.399999999994,12398.399999999998
France,28050,High,49929,21879
France,25215,High,44378.399999999994,19163.399999999998
France,28260,High,36031.5,7771.5
France,19540,High,35172,15632
France,4179,High,28751.52,20393.52
France,7276.5,High,25904.340000000004,18627.840000000004
France,3594,High,25589.28,18401.28
France,7425,High,25542,18117
France,17107.5,High,21076.44,3968.9399999999987
France,8655,High,20841.239999999998,3531.239999999998
France,5202,High,18519.12,13317.119999999999
France,13480,High,16418.64,2938.6399999999994
France,12660,High,15774.36,3114.3599999999997
France,5950,High,14494.2,2594.2000000000007
France,2930,High,9962,4102
France,7455,High,9184.56,1729.5599999999995
France,1465,High,1763.8600000000001,298.8600000000001
France,560300,Low,1493415,372815
France,566020,Low,1462944,330904
France,608625,Low,708439.5,99814.5
France,509220,Low,514524.375,5304.375
France,358560,Low,358560,0
France,154440,Low,312097.5,3217.5
France,229500,Low,269892,40392
France,209280,Low,215820,6540
France,94440,Low,194782.5,5902.5
France,38640,Low,76507.20000000001,37867.200000000004
France,5703,Low,44255.28,32849.28
France,22960,Low,34095.6,11135.599999999999
France,22610,Low,32558.4,9948.400000000001
France,8013,Low,31731.48,23718.48
France,19725,Low,27338.850000000002,7613.850000000002
France,13755,Low,27234.899999999998,13479.899999999998
France,3165,Low,24813.6,18483.6
France,5355,Low,20991.6,15636.599999999999
France,9410,Low,18443.6,9033.599999999999
France,10725,Low,14714.7,3989.7000000000007
France,2598,Low,9976.32,7378.32
France,5150,Low,7137.9,1987.8999999999996
France,3210,Low,4766.85,1556.8500000000004
France,3195,Low,4428.27,1233.2700000000004
France,2720,Low,3693.76,973.7600000000002
France,539760,Medium,1366008,286488
France,545250,Medium,1216998,126498
France,388960,Medium,984368,206448
France,747760,Medium,936138,188378
France,305250,Medium,688644,78144
France,433160,Medium,530621,97461
France,414750,Medium,462861,48111
France,359970,Medium,460346.25,100376.25
France,390500,Medium,431112,40612
France,331000,Medium,361452,30452
France,286200,Medium,283218.75,-2981.25
France,239750,Medium,267561,27811
France,112000,Medium,249984,25984
France,238500,Medium,233531.25,-4968.75
France,222840,Medium,211233.75,-11606.25
France,149370,Medium,184989,35619
France,84480,Medium,167200,-1760
France,99060,Medium,122682,23622
France,96500,Medium,106536,10036
France,80500,Medium,87906,7406
France,19760,Medium,73507.2,33987.2
France,17570,Medium,66063.2,30923.199999999997
France,38010,Medium,53594.100000000006,15584.100000000002
France,26820,Medium,48812.4,21992.4
France,26200,Medium,37335,11135
France,25010,Medium,34513.8,9503.800000000003
France,12270,Medium,33497.1,8957.099999999999
France,12435,Medium,33077.1,8207.099999999999
France,15790,Medium,30001,14211
France,15630,Medium,29697,14067
France,21010,Medium,29308.95,8298.95
France,15350,Medium,28551,13201
France,7026,Medium,26136.72,19110.72
France,13030,Medium,24757,11727
France,6702,Medium,24395.28,17693.28
France,5901,Medium,21479.64,15578.64
France,5595,Medium,21261,15666
France,10330,Medium,19627,9297
France,5215.5,Medium,19401.66,14186.16
France,7015,Medium,18463.48,4433.48
France,10680,Medium,14204.4,3524.3999999999996
France,4900,Medium,6762,1862
France,5155,Medium,6711.81,1556.8100000000004
France,918,Medium,3341.52,2423.52
France,715000,None,962500,247500
France,537750,None,645300,107550
France,397020,None,534450,137430
France,216480,None,225500,9020
France,18990,None,75960,37980
France,21780,None,65340,21780
France,5490,None,8235,2745
Germany,702750,High,750537,47787
Germany,634000,High,654288,20288
Germany,486200,High,589050,102850
Germany,311740,High,360899,49159
Germany,339750,High,358776,19026
Germany,379800,High,352106.25,-27693.75
Germany,332040,High,293993.75,-38046.25
Germany,205920,High,246708,40788
Germany,199160,High,238609,39449
Germany,130200,High,230562.5,-29837.5
Germany,201750,High,210627,8877
Germany,92820,High,108706.5,15886.5
Germany,29920,High,106515.2,46675.2
Germany,66240,High,58650,-7590
Germany,15310,High,53891.2,23271.199999999997
Germany,27080,High,47119.2,20039.199999999997
Germany,11750,High,29962.5,6462.5
Germany,7722,High,27799.2,20077.2
Germany,3039,High,21151.44,15073.439999999999
Germany,11580,High,19686,8106
Germany,15130,High,19517.7,4387.700000000001
Germany,5310,High,18478.8,13168.8
Germany,13325,High,16789.5,3464.5
Germany,1416,High,10081.92,7249.92
Germany,6810,High,9193.5,2383.5
Germany,2410,High,8676,3856
Germany,6600,High,8613,2013
Germany,4420,High,7690.8,3270.8
Germany,5100,High,6885,1785
Germany,4920,High,6273,1353
Germany,2780,High,3586.2,806.1999999999998
Germany,1400,High,3371.2,571.1999999999998
Germany,771160,Low,2034676,492356
Germany,748020,Low,1973622,477582
Germany,505250,Low,1164096,153596
Germany,495820,Low,640752,144932
Germany,467220,Low,610081.5,142861.5
Germany,464750,Low,535392,70642
Germany,432000,Low,508032,76032
Germany,204720,Low,413705,4265
Germany,353625,Low,407376,53751
Germany,172250,Low,400998,56498
Germany,188400,Low,380725,3925
Germany,246500,Low,292842,46342
Germany,273120,Low,278810,5690
Germany,97080,Low,198205,4045
Germany,53500,Low,125832,18832
Germany,95400,Low,95400,0
Germany,64750,Low,76146,11396
Germany,19450,Low,56599.5,17699.5
Germany,25800,Low,50052,24252
Germany,7437,Low,28855.56,21418.56
Germany,2298,Low,18200.16,13604.16
Germany,9790,Low,13294.82,3504.8199999999997
Germany,7470,Low,11092.95,3622.9500000000007
Germany,1315,Low,1822.59,507.5899999999999
Germany,664750,Medium,725907,61157
Germany,312500,Medium,712500,87500
Germany,557960,Medium,691012,133052
Germany,379600,Medium,480340,100740
Germany,351000,Medium,448875,97875
Germany,339820,Medium,416279.5,76459.5
Germany,421560,Medium,408386.25,-13173.75
Germany,280750,Medium,313317,32567
Germany,300000,Medium,290625,-9375
Germany,250440,Medium,242613.75,-7826.25
Germany,109720,Medium,135884,26164
Germany,119280,Medium,115552.5,-3727.5
Germany,106440,Medium,104222.5,-2217.5
Germany,96840,Medium,95831.25,-1008.75
Germany,83500,Medium,91182,7682
Germany,13660,Medium,50268.8,22948.800000000003
Germany,22970,Medium,43643,20673
Germany,19340,Medium,35585.6,16245.599999999999
Germany,21160,Medium,30153,8993
Germany,11690,Medium,30113.44,6733.439999999999
Germany,15200,Medium,27968,12768
Germany,7026,Medium,26698.8,19672.8
Germany,6645,Medium,24719.4,18074.4
Germany,17430,Medium,24576.3,7146.299999999999
Germany,15300,Medium,21573,6273
Germany,7110,Medium,19623.6,5403.5999999999985
Germany,5325,Medium,19383,14058
Germany,10010,Medium,18818.8,8808.8
Germany,4740,Medium,17253.6,12513.599999999999
Germany,12045,Medium,15513.96,3468.959999999999
Germany,5795,Medium,15414.7,3824.7000000000007
Germany,10625,Medium,13833.75,3208.75
Germany,9700,Medium,13240.5,3540.5
Germany,3348,Medium,12722.4,9374.4
Germany,6630,Medium,12066.6,5436.6
Germany,6450,Medium,11868,5418
Germany,5880,Medium,10936.8,5056.799999999999
Germany,7990,Medium,10291.12,2301.120000000001
Germany,2640,Medium,9609.6,6969.6
Germany,6860,Medium,9123.8,2263.7999999999993
Germany,6295,Medium,8107.96,1812.96
Germany,5475,Medium,7051.8,1576.8000000000002
Germany,5080,Medium,6756.4,1676.3999999999996
Germany,1800,Medium,4586.4,986.3999999999996
Germany,393380,None,1059100,272340
Germany,261560,None,704200,181080
Germany,506340,None,527437.5,21097.5
Germany,4635,None,37080,27810
Germany,8514,None,34056,25542
Germany,8880,None,26640,8880
Germany,13210,None,26420,13210
Germany,6483,None,25932,19449
Germany,10730,None,15022,4292
Germany,9210,None,13815,4605
Germany,8430,None,11802,3372
Germany,1101,None,4404,3303
Mexico,741260,High,848172.5,106912.5
Mexico,651250,High,679905,28655
Mexico,559260,High,639922.5,80662.5
Mexico,537500,High,567600,30100
Mexico,230360,High,545776,85056
Mexico,258720,High,474320,-43120
Mexico,362700,High,429660,66960
Mexico,311220,High,368676,57456
Mexico,338520,High,303257.5,-35262.5
Mexico,136500,High,278460,5460
Mexico,89440,High,214312,35432
Mexico,200250,High,206658,6408
Mexico,189000,High,169312.5,-19687.5
Mexico,147750,High,159570,11820
Mexico,108000,High,116640,8640
Mexico,113640,High,105353.75,-8286.25
Mexico,66480,High,61632.5,-4847.5
Mexico,17150,High,60368,26068
Mexico,21570,High,57591.9,14451.900000000001
Mexico,26290,High,46796.2,20506.199999999997
Mexico,25790,High,44358.8,18568.800000000003
Mexico,12330,High,43401.6,18741.6
Mexico,22550,High,39237,16687
Mexico,40920,High,38362.5,-2557.5
Mexico,20390,High,36702,16312
Mexico,9050,High,31856,13756
Mexico,7983,High,28100.16,20117.16
Mexico,19840,High,26486.4,6646.4000000000015
Mexico,18700,High,24123,5423
Mexico,8635,High,20793.08,3523.0800000000017
Mexico,11220,High,19971.6,8751.599999999999
Mexico,14515,High,17476.06,2961.0600000000013
Mexico,13530,High,16858.38,3328.380000000001
Mexico,12675,High,15083.25,2408.25
Mexico,12100,High,14907.2,2807.2000000000007
Mexico,1812,High,12611.52,8987.52
Mexico,3015,High,10733.4,7718.4
Mexico,6550,High,8744.25,2194.25
Mexico,6410,High,8653.5,2243.5
Mexico,1230,High,8560.8,6100.799999999999
Mexico,6840,High,8139.6,1299.6000000000004
Mexico,1713,High,5961.24,4248.24
Mexico,1500,High,5100,3600
Mexico,3800,High,5016,1216
Mexico,2600,High,4472,1872
Mexico,363220,Low,968121,241681
Mexico,504400,Low,665420,161020
Mexico,484900,Low,626640,141740
Mexico,426920,Low,557459,130539
Mexico,257400,Low,525525,10725
Mexico,314600,Low,419265,104665
Mexico,275250,Low,323694,48444
Mexico,123500,Low,293436,46436
Mexico,136560,Low,273120,0
Mexico,218760,Low,225596.25,6836.25
Mexico,199200,Low,203350,4150
Mexico,79440,Low,162190,3310
Mexico,128880,Low,128880,0
Mexico,20310,Low,58492.8,17872.800000000003
Mexico,15140,Low,43603.2,13323.199999999997
Mexico,22140,Low,32877.9,10737.900000000001
Mexico,3252,Low,25495.68,18991.68
Mexico,5748,Low,22302.24,16554.24
Mexico,8800,Low,11950.4,3150.3999999999996
Mexico,5440,Low,10662.4,5222.4
Mexico,2070,Low,8114.4,6044.4
Mexico,1810,Low,2508.66,698.6599999999999
Mexico,615000,Medium,1357920,127920
Mexico,354120,Medium,877128,168888
Mexico,628420,Medium,769814.5,141394.5
Mexico,686750,Medium,766413,79663
Mexico,641250,Medium,700245,58995
Mexico,436540,Medium,552391,115851
Mexico,401750,Medium,457995,56245
Mexico,158750,Medium,350520,33020
Mexico,254800,Medium,322420,67620
Mexico,275000,Medium,313500,38500
Mexico,253200,Medium,240012.5,-13187.5
Mexico,187200,Medium,239400,52200
Mexico,184800,Medium,177100,-7700
Mexico,133680,Medium,128110,-5570
Mexico,105240,Medium,99758.75,-5481.25
Mexico,29930,Medium,55071.2,25141.199999999997
Mexico,28610,Medium,40769.25,12159.25
Mexico,27910,Medium,39771.75,11861.75
Mexico,10380,Medium,37783.2,17023.199999999997
Mexico,26280,Medium,35872.2,9592.199999999997
Mexico,13445,Medium,35763.7,8873.699999999997
Mexico,18340,Medium,34112.4,15772.400000000001
Mexico,8289,Medium,30835.08,22546.08
Mexico,16940,Medium,30830.8,13890.8
Mexico,7020,Medium,26114.4,19094.4
Mexico,11230,Medium,21112.4,9882.400000000001
Mexico,7490,Medium,19713.68,4733.68
Mexico,4125,Medium,15180,11055
Mexico,3369,Medium,12802.2,9433.2
Mexico,9730,Medium,12532.24,2802.24
Mexico,6090,Medium,11327.4,5237.4
Mexico,8415,Medium,11191.95,2776.9500000000007
Mexico,6665,Medium,8771.14,2106.1399999999994
Mexico,2181,Medium,8113.32,5932.32
Mexico,1101,Medium,8015.28,5813.28
Mexico,2605,Medium,6637.54,1427.54
Mexico,1686,Medium,6339.36,4653.36
Mexico,2450,Medium,3344.25,894.25
Mexico,239500,None,287400,47900
Mexico,197000,None,236400,39400
Mexico,24700,None,74100,24700
Mexico,24720,None,37080,12360
Mexico,9740,None,14610,4870
Mexico,7465,None,10451,2986
Mexico,4415,None,6181,1766
