Orders.Sub-Category,Orders.State,Sum(Orders.Profit)
Art,Ohio,103.23759999999997
Art,Oklahoma,19.086399999999998
Art,Oregon,65.27599999999998
Art,Pennsylvania,137.75809999999998
Art,Rhode Island,18.715000000000003
Art,South Carolina,9.909600000000001
Art,Tennessee,62.713499999999975
Art,Texas,316.35380000000004
Art,Utah,28.8803
Art,Vermont,2.7336
Art,Virginia,258.97529999999995
Art,Washington,320.1679
Art,Wisconsin,44.6698
Labels,Alabama,247.7319
Labels,Arizona,9.125599999999999
Labels,Arkansas,3.4356999999999998
Labels,California,1370.1190999999997
Labels,Colorado,5.9832
Labels,Connecticut,15.696799999999998
Labels,Delaware,34.7388
Labels,Florida,136.5696
Labels,Georgia,116.01679999999999
Labels,Illinois,77.4622
Labels,Indiana,134.20829999999998
Labels,Kansas,8.693999999999999
Labels,Kentucky,176.8009
Labels,Louisiana,5.2029
Labels,Maryland,82.5024
Labels,Massachusetts,76.66579999999999
Labels,Michigan,430.99210000000005
Labels,Minnesota,76.8852
Labels,Mississippi,6.8713999999999995
Labels,Missouri,6.8724
Labels,Montana,6.8713999999999995
Labels,Nebraska,7.056
Labels,Nevada,6.8724
Labels,New Hampshire,19.4264
Labels,New Jersey,32.1345
Labels,New Mexico,8.6715
Labels,New York,611.1723
Labels,North Carolina,75.86840000000001
Labels,Ohio,55.522200000000005
Labels,Oklahoma,31.185200000000002
Labels,Oregon,320.3328
Labels,Pennsylvania,201.42079999999999
Labels,South Dakota,16.3795
Labels,Tennessee,41.471199999999996
Labels,Texas,200.40199999999996
Labels,Utah,14.616
Labels,Virginia,230.8035
Labels,Washington,560.5303000000001
Labels,Wisconsin,82.9425
Machines,Alabama,1459.2
Machines,Arizona,-930.9409999999999
Machines,California,4175.408699999997
Machines,Colorado,-4384.255400000001
Machines,Delaware,31.005899999999997
Machines,District of Columbia,648.5624
Machines,Florida,-1976.0110000000022
Machines,Georgia,190.07999999999998
Machines,Illinois,326.0394999999998
Machines,Indiana,22.653000000000006
Machines,Kentucky,1416.7999999999997
Machines,Louisiana,239.985
Machines,Maryland,209.23649999999998
Machines,Michigan,832.0842999999996
Machines,Nevada,179.73000000000013
Machines,New Jersey,2709.9521999999993
Machines,New York,17320.076199999996
Machines,North Carolina,-5384.808599999999
Machines,Ohio,-11770.944700000002
Machines,Oregon,-273.9323999999999
Machines,Pennsylvania,-2219.2455999999993
Machines,Tennessee,-274.40950000000015
Machines,Texas,-2666.8434000000025
Machines,Virginia,2890.2710999999995
Machines,Washington,615.0637
Fasteners,Alabama,1.1945999999999999
Fasteners,Arizona,2.099299999999995
Fasteners,Arkansas,18.961199999999998
Fasteners,California,195.75050000000002
Fasteners,Colorado,12.605399999999996
Fasteners,Delaware,0.5236000000000014
Fasteners,Florida,16.508499999999998
Fasteners,Georgia,0.30240000000000045
Fasteners,Illinois,43.994899999999994
Fasteners,Indiana,0.1008
Fasteners,Iowa,21.5824
Fasteners,Kansas,10.921100000000001
Fasteners,Kentucky,21.8478
Fasteners,Maryland,10.470399999999998
Fasteners,Massachusetts,23.8116
Fasteners,Michigan,42.755399999999995
Fasteners,Minnesota,19.328
Fasteners,Mississippi,5.489399999999999
Fasteners,Nebraska,10.384599999999999
Fasteners,Nevada,0
Fasteners,New Hampshire,6.965400000000001
Fasteners,New Jersey,15.110800000000001
Fasteners,New York,116.6671
Fasteners,North Carolina,21.863699999999998
Fasteners,North Dakota,3.4827000000000004
Fasteners,Ohio,61.11969999999999
Fasteners,Oregon,0.1695000000000011
Fasteners,Pennsylvania,29.322199999999995
Fasteners,South Carolina,17.993999999999996
Fasteners,South Dakota,2.6814000000000004
Fasteners,Tennessee,28.89409999999999
Fasteners,Texas,80.7357
Fasteners,Utah,2.5328
Fasteners,Virginia,40.6624
Fasteners,Washington,62.0332
Fasteners,Wisconsin,0.6516
Supplies,Alabama,11.50770000000001
Supplies,Arizona,-30.197600000000026
Supplies,California,862.2002999999994
Supplies,Colorado,-291.69899999999996
Supplies,Connecticut,30.401499999999995
Supplies,Florida,-197.63149999999996
Supplies,Georgia,10.150399999999994
Supplies,Illinois,13.427299999999994
Supplies,Kansas,7.158600000000007
Supplies,Kentucky,17.920799999999996
Supplies,Louisiana,33.312400000000025
Supplies,Maryland,6.5052
Supplies,Massachusetts,6.859
Supplies,Michigan,21.210399999999993
Supplies,Minnesota,10.799599999999998
Supplies,Missouri,99.05800000000006
Supplies,Nebraska,5.0699999999999985
Supplies,Nevada,24.997999999999987
Supplies,New Hampshire,8.099699999999999
Supplies,New Jersey,32.674699999999994
Supplies,New Mexico,4.7232
Supplies,New York,268.0359
Supplies,North Carolina,-27.980300000000028
Supplies,Ohio,-82.90289999999999
Supplies,Oklahoma,6.148800000000001
Supplies,Oregon,-1.6847000000000039
Supplies,Pennsylvania,-1459.5663
Supplies,Rhode Island,34.75799999999995
Supplies,South Dakota,6.63
Supplies,Tennessee,8.020799999999987
Supplies,Texas,-837.2795000000003
Supplies,Utah,12.432000000000002
Supplies,Virginia,146.57700000000006
Supplies,Washington,45.274300000000004
Supplies,Wisconsin,5.888700000000001
Tables,Alabama,556.0730000000001
Tables,Arizona,-2281.8701
Tables,Arkansas,45.29399999999998
Tables,California,-303.5580000000013
Tables,Colorado,-974.8754
Tables,Connecticut,-19.6146
Tables,Delaware,-85.89630000000007
Tables,Florida,-2493.1111
Tables,Georgia,137.94699999999995
Tables,Idaho,419.70630000000006
Tables,Illinois,-4309.744700000001
Tables,Indiana,412.92179999999996
Tables,Iowa,106.62480000000005
Tables,Kentucky,160.1586
Tables,Louisiana,368.3944000000001
Tables,Maryland,-71.11700000000002
Tables,Massachusetts,-545.2946999999998
Tables,Michigan,1087.8775
Tables,Minnesota,270.43820000000005
Tables,Mississippi,411.16760000000016
Tables,Missouri,361.5233999999999
Tables,Nevada,437.18919999999986
Tables,New Hampshire,-105.31639999999993
Tables,New Jersey,-51.2906
Tables,New York,-4535.640800000001
Tables,North Carolina,-3684.2539000000006
Tables,Ohio,-2715.3345000000004
Tables,Oklahoma,579.883
Tables,Oregon,-1048.8971
Tables,Pennsylvania,-2588.753800000001
Tables,Rhode Island,-230.16779999999994
Tables,Tennessee,-2663.4138000000003
Tables,Texas,-2216.6766000000002
Tables,Utah,358.92240000000004
Tables,Virginia,2538.6863
Tables,Washington,4875.99
Tables,West Virginia,-76.9536
Tables,Wisconsin,147.5021999999999
Bookcases,Arizona,-869.2072999999999
Bookcases,Arkansas,172.4814
Bookcases,California,1418.991499999999
Bookcases,Colorado,-2408.9163000000003
Bookcases,Connecticut,456.677
Bookcases,Delaware,476.9343
Bookcases,Florida,-116.07059999999998
Bookcases,Georgia,883.2619999999998
Bookcases,Illinois,-555.8725999999999
Bookcases,Kentucky,41.9136
Bookcases,Louisiana,57.19280000000002
Bookcases,Maryland,105.60539999999997
Bookcases,Massachusetts,414.0936
Bookcases,Michigan,150.6456
Bookcases,Mississippi,126.22500000000002
Bookcases,Missouri,53.235000000000014
Bookcases,Nevada,41.16839999999999
Bookcases,New Jersey,141.39199999999988
Bookcases,New York,350.8743999999987
Bookcases,North Carolina,-97.978
Bookcases,Ohio,-1359.0516
Bookcases,Oklahoma,54.713599999999985
Bookcases,Oregon,-616.8158
Bookcases,Pennsylvania,-2896.760100000001
Bookcases,Rhode Island,129.4762
Bookcases,South Dakota,39.7488
Bookcases,Tennessee,-6.3236000000000345
Bookcases,Texas,-2391.137700000001
Bookcases,Utah,218.26239999999981
Bookcases,Vermont,1013.1270000000001
Bookcases,Virginia,278.78919999999994
Bookcases,Washington,570.0054
Bookcases,Wisconsin,650.763
