10000.County,10000.Invoice/Item Number,Sum(10000.Sale (Dollars)),Sum(10000.Pack),Sum(10000.Volume Sold (Liters)),
Appanoose,S19368300017,34.29,12,3,NaN
Appanoose,S21424200032,89.28,12,6,NaN
Appanoose,S22088900051,74.6,12,3,NaN
Audubon,S05552600015,8.46,24,1,NaN
Audubon,S06755000020,23.82,12,2,NaN
Audubon,S07235300028,56.25,6,2,NaN
Audubon,S12998600044,32.43,12,2,NaN
Audubon,S14108200020,80.28,6,10,NaN
Audubon,S14712000028,19.48,12,2,NaN
Audubon,S14979100051,16.9,12,2,NaN
Audubon,S15897300012,18.9,12,2,NaN
Audubon,S20082900010,447.6,6,52,NaN
Audubon,S20838900021,198.36,6,21,NaN
Audubon,S22946700002,162,6,10,NaN
Audubon,S23801500035,15.04,12,2,NaN
Benton,S04207100002,58.56,12,9,NaN
Benton,S06517500018,124.56,6,21,NaN
Benton,S06682600011,305.88,12,12,NaN
Benton,S06795700044,17.99,12,1,NaN
Benton,S06996200003,162.78,6,4,NaN
Benton,S06996200015,163.26,6,10,NaN
Benton,S08715100008,40.47,12,2,NaN
Benton,S08852000010,391.92,6,12,NaN
Benton,S12140900019,17.16,12,1,NaN
Benton,S13984900046,22.38,6,4,NaN
Benton,S14019800024,29.82,12,3,NaN
Benton,S14477900028,49,6,2,NaN
Benton,S15669500018,29.22,12,2,NaN
Benton,S17477100032,26.94,12,2,NaN
Benton,S17826000045,28.35,12,2,NaN
Benton,S18027400014,7,6,0,NaN
Benton,S18819000013,13.59,12,0,NaN
Benton,S19081100044,10.85,12,1,NaN
Benton,S20726300031,16.5,12,1,NaN
Benton,S21101400010,63.72,6,10,NaN
Benton,S21245300045,44.98,12,2,NaN
Benton,S21504300043,36.76,12,2,NaN
Benton,S21611800015,95.94,6,10,NaN
Benton,S22037800023,103.98,6,10,NaN
Benton,S22037800038,23.64,12,2,NaN
Benton,S22440900037,18.9,12,2,NaN
Benton,S22688400016,80.55,12,3,NaN
Benton,S23217500047,9.5,12,1,NaN
Black Hawk,S03458900018,223.68,12,24,NaN
Black Hawk,S03530400004,79.2,48,10,NaN
Black Hawk,S03571400005,192.96,24,14,NaN
Black Hawk,S03583600069,11.9,12,2,NaN
Black Hawk,S03583600085,78,6,2,NaN
Black Hawk,S03651700056,120.48,12,9,NaN
Black Hawk,S03687200014,51,24,4,NaN
Black Hawk,S03689400017,41.18,12,2,NaN
Black Hawk,S03907100002,292.08,12,9,NaN
Black Hawk,S04053900011,244.8,24,18,NaN
Black Hawk,S04166600004,195.96,12,9,NaN
Black Hawk,S04252200014,116.88,12,9,NaN
Black Hawk,S04258900037,485.28,6,14,NaN
Black Hawk,S04273800032,66.96,12,3,NaN
Black Hawk,S04303700026,0,12,2,NaN
Black Hawk,S04319600017,103.92,12,9,NaN
Black Hawk,S04324800021,128.4,6,21,NaN
Black Hawk,S04389100019,119.94,6,10,NaN
Black Hawk,S04397700075,195.96,6,6,NaN
Black Hawk,S04397700092,33.64,6,4,NaN
Black Hawk,S04397700096,35.73,12,2,NaN
Black Hawk,S04501600013,81.84,6,10,NaN
Black Hawk,S04616900018,25.5,24,2,NaN
Black Hawk,S04714700032,33.72,24,1,NaN
Black Hawk,S04780300007,233.4,12,9,NaN
Black Hawk,S04845600094,94.54,6,4,NaN
Black Hawk,S04944000001,168.48,12,9,NaN
Black Hawk,S05062800055,37.02,12,2,NaN
Black Hawk,S05172300026,71.4,12,9,NaN
Black Hawk,S05217600013,65.82,6,10,NaN
Black Hawk,S05219100034,197.88,12,12,NaN
Black Hawk,S05288000002,116.88,12,9,NaN
Black Hawk,S05291200015,74.94,12,4,NaN
Black Hawk,S05376700055,161.16,12,12,NaN
Black Hawk,S05380900011,186.84,6,32,NaN
Black Hawk,S05410300004,78.6,12,12,NaN
Black Hawk,S05411500034,18.28,24,2,NaN
Black Hawk,S05498900006,110.4,24,9,NaN
Black Hawk,S05504700068,43.8,12,3,NaN
Black Hawk,S05558900009,114.24,12,9,NaN
Black Hawk,S05627900002,99.12,12,9,NaN
Black Hawk,S05633500217,22.16,48,1,NaN
Black Hawk,S05634700022,234.12,12,9,NaN
Black Hawk,S05671800017,45.2,12,3,NaN
Black Hawk,S05683900013,73.8,6,10,NaN
Black Hawk,S05732700012,200.88,12,9,NaN
Black Hawk,S05739600003,122.4,24,9,NaN
Black Hawk,S05768500030,45.2,12,3,NaN
Black Hawk,S05838800055,104.04,12,12,NaN
Black Hawk,S05847500047,30.66,6,4,NaN
Black Hawk,S05992900017,20.92,12,3,NaN
Black Hawk,S06067100070,132.24,12,12,NaN
Black Hawk,S06097900018,119.04,6,10,NaN
Black Hawk,S06115300086,34.68,12,2,NaN
Black Hawk,S06123100028,310.56,12,9,NaN
Black Hawk,S06167400063,80.28,6,10,NaN
Black Hawk,S06222200009,211.2,24,9,NaN
Black Hawk,S06225200203,42.99,12,2,NaN
Black Hawk,S06347600101,49.4,12,2,NaN
Black Hawk,S06348700008,311.4,6,52,NaN
Black Hawk,S06433300027,665.76,6,18,NaN
Black Hawk,S06710900049,11.81,12,1,NaN
Black Hawk,S06712800007,220.44,12,9,NaN
Black Hawk,S06814500033,62.5,12,2,NaN
Black Hawk,S06829900004,72.72,24,5,NaN
Black Hawk,S06835200028,1671.6,12,168,NaN
Black Hawk,S06907700074,109.2,12,12,NaN
Black Hawk,S06952300113,23.64,12,2,NaN
Black Hawk,S07080600005,87.12,6,10,NaN
Black Hawk,S07149800008,559.2,12,24,NaN
Black Hawk,S07339700005,225,6,9,NaN
Black Hawk,S07362900081,81.24,12,3,NaN
Black Hawk,S07625500030,198,12,9,NaN
Black Hawk,S07715500050,180,6,9,NaN
Black Hawk,S07744000011,127.68,24,10,NaN
Black Hawk,S07747100125,97.45,12,4,NaN
Black Hawk,S07755800035,11.88,10,1,NaN
Black Hawk,S07909400041,44.96,12,3,NaN
Black Hawk,S07982300022,162.78,6,4,NaN
Black Hawk,S08005700056,169.68,12,12,NaN
Black Hawk,S08029600022,224.88,12,12,NaN
Black Hawk,S08086000004,66,24,9,NaN
Black Hawk,S08120000027,391.92,6,12,NaN
Black Hawk,S08149900038,235.98,6,10,NaN
Black Hawk,S08158100005,234.48,24,9,NaN
Black Hawk,S08182300006,114.96,24,9,NaN
Black Hawk,S08204200022,38.98,12,2,NaN
Black Hawk,S08254300023,195.96,6,6,NaN
Black Hawk,S08674000031,20.98,12,2,NaN
Black Hawk,S08723900003,539.88,12,9,NaN
Black Hawk,S08736600003,215.52,48,10,NaN
Black Hawk,S08756100004,104.16,24,9,NaN
Black Hawk,S08890200036,67.14,6,10,NaN
Black Hawk,S08890200072,28.68,12,2,NaN
Black Hawk,S09062600018,116.88,12,9,NaN
Black Hawk,S09123300021,43.48,12,2,NaN
Black Hawk,S09125000030,157.44,6,10,NaN
Black Hawk,S09129700014,65.82,6,10,NaN
Black Hawk,S09133400019,61.08,12,9,NaN
Black Hawk,S09166500043,12.28,24,2,NaN
Black Hawk,S09255300005,68.22,6,10,NaN
Black Hawk,S09264800036,90,6,10,NaN
Black Hawk,S09266500004,63.84,24,5,NaN
Black Hawk,S09278800027,22.98,12,2,NaN
Black Hawk,S09392300003,60.72,12,9,NaN
Black Hawk,S09522600005,128.4,6,21,NaN
Black Hawk,S09528600010,143.52,48,10,NaN
Black Hawk,S09574300004,62.28,12,9,NaN
Black Hawk,S09577800016,278.94,6,10,NaN
Black Hawk,S09631100004,124.2,12,9,NaN
Black Hawk,S09652000112,47.24,12,3,NaN
Black Hawk,S09657000067,83.4,12,3,NaN
Black Hawk,S09657000145,46.05,12,3,NaN
Black Hawk,S09703000029,453.6,12,36,NaN
Black Hawk,S09768000076,15,24,0,NaN
Black Hawk,S09845400025,121.44,12,18,NaN
Black Hawk,S09854900047,56.72,12,3,NaN
Black Hawk,S09874600003,63.12,6,10,NaN
Black Hawk,S09885000005,134.88,12,9,NaN
Black Hawk,S09897200020,183.96,6,21,NaN
Black Hawk,S09898000014,32.1,24,2,NaN
Black Hawk,S10022900004,71.4,12,9,NaN
Black Hawk,S10303300020,7.4,12,1,NaN
Black Hawk,S10478000009,2412,12,90,NaN
Black Hawk,S10641200033,179.52,12,9,NaN
Black Hawk,S10667900014,37.98,12,2,NaN
Black Hawk,S10772500007,64.2,6,10,NaN
Black Hawk,S10772600016,26.94,12,2,NaN
Black Hawk,S10784500024,36.78,12,2,NaN
Black Hawk,S10903700025,357,12,60,NaN
Black Hawk,S10909100010,74.96,12,3,NaN
Black Hawk,S10946300013,61.08,12,9,NaN
Black Hawk,S11011800134,55.05,12,2,NaN
Black Hawk,S11031800015,106.2,6,10,NaN
Black Hawk,S11122700063,7.99,12,0,NaN
Black Hawk,S11123300010,18.88,24,1,NaN
Black Hawk,S11149600025,143.4,12,9,NaN
Black Hawk,S11213900005,188.16,12,18,NaN
Black Hawk,S11256700007,2429.4,12,60,NaN
Black Hawk,S11380400012,101.4,6,10,NaN
Black Hawk,S11491100014,111,12,3,NaN
Black Hawk,S11509000019,24.6,6,4,NaN
Black Hawk,S11510400006,107.94,6,10,NaN
Black Hawk,S11627300013,29.76,12,4,NaN
Black Hawk,S11643000016,55.48,12,2,NaN
Black Hawk,S11643500017,131.94,6,10,NaN
Black Hawk,S11644400009,68.22,6,10,NaN
Black Hawk,S11648200025,94.02,6,10,NaN
Black Hawk,S11649400151,50.22,12,2,NaN
Black Hawk,S11899400182,40.96,12,3,NaN
Black Hawk,S12033500011,42.1,12,2,NaN
Black Hawk,S12038800011,56.25,6,1,NaN
Black Hawk,S12185500070,42.54,12,2,NaN
Black Hawk,S12223700005,220.32,12,9,NaN
Black Hawk,S12229800017,154.38,6,10,NaN
Black Hawk,S12283100019,19.88,12,2,NaN
Black Hawk,S12302500025,51,12,1,NaN
Black Hawk,S12303800002,143.52,48,10,NaN
Black Hawk,S12384200058,229.56,12,9,NaN
Black Hawk,S12421900028,94.5,6,10,NaN
Black Hawk,S12422000168,125.94,12,4,NaN
Black Hawk,S12442600073,37.11,12,2,NaN
Black Hawk,S12511500011,31.5,12,3,NaN
Black Hawk,S12522500030,194.22,6,32,NaN
Black Hawk,S12548900005,124.2,12,9,NaN
Black Hawk,S12748200032,68.22,6,10,NaN
Black Hawk,S12805300005,81.12,48,10,NaN
Black Hawk,S12819400005,64.74,6,10,NaN
Black Hawk,S12819400035,39.39,12,2,NaN
Black Hawk,S12946500018,25.98,12,2,NaN
Black Hawk,S12946600041,49.47,12,2,NaN
Black Hawk,S13014300051,149.88,12,9,NaN
Black Hawk,S13094600014,60.78,12,4,NaN
Black Hawk,S13163700016,99.12,6,10,NaN
Black Hawk,S13163700034,157.44,12,9,NaN
Black Hawk,S13220900065,195.96,6,6,NaN
Black Hawk,S13292800041,99,6,10,NaN
Black Hawk,S13347200068,62.82,6,10,NaN
Black Hawk,S13347700007,51.72,12,4,NaN
Black Hawk,S13409600034,25.86,12,2,NaN
Black Hawk,S13415800155,52.45,12,4,NaN
Black Hawk,S13426800014,215.52,48,10,NaN
Black Hawk,S13445600001,225,6,9,NaN
Black Hawk,S13561800006,80.28,6,10,NaN
Black Hawk,S13708500023,24.52,12,2,NaN
Black Hawk,S13721200064,179.88,12,12,NaN
Black Hawk,S13808700074,33.69,12,2,NaN
Black Hawk,S13928100010,84.6,12,12,NaN
Black Hawk,S13941700014,73.8,12,9,NaN
Black Hawk,S13968900051,62.28,6,10,NaN
Black Hawk,S14028100042,14.88,6,1,NaN
Black Hawk,S14055000066,294,6,12,NaN
Black Hawk,S14226000043,78.96,12,9,NaN
Black Hawk,S14226800054,72.96,12,12,NaN
Black Hawk,S14255400037,215.88,6,21,NaN
Black Hawk,S14273000029,20.67,12,3,NaN
Black Hawk,S14273000045,39.35,24,1,NaN
Black Hawk,S14282800025,38.96,12,3,NaN
Black Hawk,S14316100032,7.92,10,1,NaN
Black Hawk,S14362300103,10.24,12,0,NaN
Black Hawk,S14362300129,5.31,24,0,NaN
Black Hawk,S14372500011,22.2,12,3,NaN
Black Hawk,S14678500031,177.84,12,9,NaN
Black Hawk,S14763800123,53.97,12,2,NaN
Black Hawk,S14803500015,198.48,12,9,NaN
Black Hawk,S14812200075,148.44,12,9,NaN
Black Hawk,S14812800022,135.6,12,9,NaN
Black Hawk,S14845700001,328.44,12,12,NaN
Black Hawk,S15048000036,41.4,12,3,NaN
Black Hawk,S15051500011,138.72,24,18,NaN
Black Hawk,S15202400017,80.97,12,2,NaN
Black Hawk,S15340200014,127.44,12,12,NaN
Black Hawk,S15360400046,21.24,6,4,NaN
Black Hawk,S15577600013,31.05,12,2,NaN
Black Hawk,S15632300014,27.42,6,4,NaN
Black Hawk,S15688400155,47.64,12,3,NaN
Black Hawk,S15710500028,50.4,12,4,NaN
Black Hawk,S15765300025,53.88,12,3,NaN
Black Hawk,S15804800089,35.43,12,2,NaN
Black Hawk,S15893000028,28.52,24,2,NaN
Black Hawk,S15894100073,14.16,12,2,NaN
Black Hawk,S15969300007,69.36,24,9,NaN
Black Hawk,S15992900061,96.72,12,9,NaN
Black Hawk,S15997300051,148.56,12,9,NaN
Black Hawk,S16006000041,39.03,12,2,NaN
Black Hawk,S16109300030,235.44,24,9,NaN
Black Hawk,S16117700003,310.44,12,12,NaN
Black Hawk,S16253900023,18.66,8,1,NaN
Black Hawk,S16288500014,302.28,12,12,NaN
Black Hawk,S16378000062,646.56,12,36,NaN
Black Hawk,S16379000067,75,6,3,NaN
Black Hawk,S16385800070,422.88,12,24,NaN
Black Hawk,S16390600088,55.56,6,4,NaN
Black Hawk,S16407700020,17.16,12,1,NaN
Black Hawk,S16498700048,243,12,9,NaN
Black Hawk,S16499000004,128.16,24,10,NaN
Black Hawk,S16503700003,215.52,48,10,NaN
Black Hawk,S16522800003,73.44,24,5,NaN
Black Hawk,S16533200004,60.12,12,9,NaN
Black Hawk,S16653200011,64.02,6,10,NaN
Black Hawk,S16662600010,132.78,6,10,NaN
Black Hawk,S16720100010,110.4,24,9,NaN
Black Hawk,S16750500051,24.74,12,2,NaN
Black Hawk,S16790600028,20.25,12,0,NaN
Black Hawk,S16874500035,138.7,12,4,NaN
Black Hawk,S16896600013,217.44,12,12,NaN
Black Hawk,S16972700068,12.37,12,1,NaN
Black Hawk,S16980700022,40.41,12,2,NaN
Black Hawk,S17011800007,470.1,6,52,NaN
Black Hawk,S17047000062,81,6,10,NaN
Black Hawk,S17138000040,130.5,6,4,NaN
Black Hawk,S17263700014,64.2,12,9,NaN
Black Hawk,S17383100042,22.4,12,1,NaN
Black Hawk,S17385000024,217.44,12,12,NaN
Black Hawk,S17429900025,65.32,6,2,NaN
Black Hawk,S17487400026,155.28,24,9,NaN
Black Hawk,S17625800013,70.56,24,5,NaN
Black Hawk,S17665400158,13.62,12,2,NaN
Black Hawk,S17725700044,112.8,12,9,NaN
Black Hawk,S17738300086,104.04,12,9,NaN
Black Hawk,S17873900019,19.48,12,2,NaN
Black Hawk,S17878300001,159.72,6,10,NaN
Black Hawk,S17920300024,70.56,6,10,NaN
Black Hawk,S17964600002,215.88,12,9,NaN
Black Hawk,S17978200041,21.05,12,1,NaN
Black Hawk,S18101500082,48.36,6,2,NaN
Black Hawk,S18101500135,24.75,12,2,NaN
Black Hawk,S18116000049,57.92,12,3,NaN
Black Hawk,S18116500024,24.56,12,3,NaN
Black Hawk,S18238500040,74.4,12,12,NaN
Black Hawk,S18265200040,34,24,2,NaN
Black Hawk,S18343100010,66.39,12,2,NaN
Black Hawk,S18477500037,34.5,12,1,NaN
Black Hawk,S18482900009,477.12,12,48,NaN
Black Hawk,S18487700002,78,12,12,NaN
Black Hawk,S18527800011,68.4,6,10,NaN
Black Hawk,S18549800047,140.88,12,9,NaN
Black Hawk,S18607900007,179.46,6,10,NaN
Black Hawk,S18611000010,60.72,12,9,NaN
Black Hawk,S18669200067,85.44,6,10,NaN
Black Hawk,S18740000061,189,12,12,NaN
Black Hawk,S18740000069,224.88,12,12,NaN
Black Hawk,S18766200019,198,12,12,NaN
Black Hawk,S18857000014,269.76,12,12,NaN
Black Hawk,S18973900054,55.56,6,4,NaN
Black Hawk,S18977800006,125.88,12,9,NaN
Black Hawk,S18977800049,103.44,12,4,NaN
Black Hawk,S18981200019,124.2,12,9,NaN
Black Hawk,S18989200030,14.68,6,1,NaN
Black Hawk,S18998500034,235.8,12,9,NaN
Black Hawk,S19003100098,113.4,12,9,NaN
Black Hawk,S19095800047,68.4,6,10,NaN
Black Hawk,S19193100032,123,12,9,NaN
Black Hawk,S19202100019,234.72,24,9,NaN
Black Hawk,S19206900017,324,12,9,NaN
Black Hawk,S19206900033,84.24,6,2,NaN
Black Hawk,S19270400017,60.6,12,9,NaN
Black Hawk,S19290600032,8.62,12,0,NaN
Black Hawk,S19329800103,41.4,12,3,NaN
Black Hawk,S19376600004,75,12,12,NaN
Black Hawk,S19536900090,103.86,6,10,NaN
Black Hawk,S19555000013,322.8,6,52,NaN
Black Hawk,S19626300005,113.4,12,9,NaN
Black Hawk,S19687800205,53.1,12,5,NaN
Black Hawk,S19739600050,148.56,12,9,NaN
Black Hawk,S19818800036,225,12,36,NaN
Black Hawk,S19867900048,180,12,9,NaN
Black Hawk,S19949700064,12.84,24,1,NaN
Black Hawk,S20121000011,43.6,12,2,NaN
Black Hawk,S20202700007,89.52,6,10,NaN
Black Hawk,S20278500008,70.56,24,5,NaN
Black Hawk,S20285100037,29.1,24,2,NaN
Black Hawk,S20290400031,8.31,12,0,NaN
Black Hawk,S20298200089,13.31,12,0,NaN
Black Hawk,S20310500004,116.88,12,9,NaN
Black Hawk,S20429400018,75.6,12,9,NaN
Black Hawk,S20452200004,225,20,3,NaN
Black Hawk,S20542300026,225.36,12,36,NaN
Black Hawk,S20558900003,174.84,12,12,NaN
Black Hawk,S20639900011,26.64,12,2,NaN
Black Hawk,S20731900159,24.72,24,1,NaN
Black Hawk,S20795600001,126,12,9,NaN
Black Hawk,S20802600012,60.84,12,9,NaN
Black Hawk,S20813500166,99,24,4,NaN
Black Hawk,S20817300015,106.56,12,9,NaN
Black Hawk,S20840300025,216.96,12,9,NaN
Black Hawk,S20898000014,64.56,6,10,NaN
Black Hawk,S20922800004,70.08,48,5,NaN
Black Hawk,S20941900030,145.92,12,24,NaN
Black Hawk,S21036000029,252,12,4,NaN
Black Hawk,S21127000018,64.56,6,10,NaN
Black Hawk,S21127000109,43.35,12,4,NaN
Black Hawk,S21253900002,117,12,9,NaN
Black Hawk,S21321000008,193.68,6,32,NaN
Black Hawk,S21409400003,132.78,6,10,NaN
Black Hawk,S21433100009,126,24,9,NaN
Black Hawk,S21518700003,114,12,9,NaN
Black Hawk,S21552900002,60.72,12,9,NaN
Black Hawk,S21559400019,69.57,12,2,NaN
Black Hawk,S21562500003,162,12,9,NaN
Black Hawk,S21564400001,81.6,48,10,NaN
Black Hawk,S21590000010,151.08,12,9,NaN
Black Hawk,S21819600003,110.64,24,9,NaN
Black Hawk,S21820500087,39.39,12,2,NaN
Black Hawk,S21990900011,375.3,6,52,NaN
Black Hawk,S22005200049,60,6,2,NaN
Black Hawk,S22104800032,559.44,12,24,NaN
Black Hawk,S22127300008,75.12,12,12,NaN
Black Hawk,S22163100015,33.72,12,2,NaN
Black Hawk,S22231200041,166.44,6,5,NaN
Black Hawk,S22231200069,42.76,12,2,NaN
Black Hawk,S22383800016,37.5,12,2,NaN
Black Hawk,S22390400049,34.48,12,2,NaN
Black Hawk,S22423100002,332.88,12,9,NaN
Black Hawk,S22472200084,46.98,12,1,NaN
Black Hawk,S22524200055,23.64,12,2,NaN
Black Hawk,S22601700005,141.12,24,10,NaN
Black Hawk,S22615600010,162,12,9,NaN
Black Hawk,S22619800009,238.56,12,9,NaN
Black Hawk,S22655000091,14.68,6,1,NaN
Black Hawk,S22662200110,68.72,12,3,NaN
Black Hawk,S22740300001,294.12,12,4,NaN
Black Hawk,S22748900036,75.12,12,12,NaN
Black Hawk,S22759600024,274.32,12,12,NaN
Black Hawk,S22789700096,99,6,10,NaN
Black Hawk,S22859900047,224.64,12,9,NaN
Black Hawk,S22874900002,270,12,9,NaN
Black Hawk,S22876900001,150.36,12,4,NaN
Black Hawk,S22895100009,197.76,24,5,NaN
Black Hawk,S22908300012,342,12,9,NaN
Black Hawk,S22933900002,175.14,6,4,NaN
Black Hawk,S22988300027,144,48,10,NaN
Black Hawk,S23004500221,38.84,12,3,NaN
Black Hawk,S23014900001,70.56,24,5,NaN
Black Hawk,S23033500009,112.5,6,4,NaN
Black Hawk,S23054800042,1108.8,6,32,NaN
Black Hawk,S23063200088,73.8,6,10,NaN
Black Hawk,S23067400065,127.56,12,4,NaN
Black Hawk,S23113100267,42,12,1,NaN
Black Hawk,S23115800011,211.56,12,12,NaN
Black Hawk,S23147300050,38.96,24,2,NaN
Black Hawk,S23254500018,57,12,2,NaN
Black Hawk,S23254600001,103.86,6,10,NaN
Black Hawk,S23259600237,22.23,12,2,NaN
Black Hawk,S23285400149,18.75,6,1,NaN
Black Hawk,S23302300035,162,12,9,NaN
Black Hawk,S23302300091,20.22,24,1,NaN
Black Hawk,S23302300181,30,12,3,NaN
Black Hawk,S23351700011,486,12,9,NaN
Black Hawk,S23493100011,33.24,12,2,NaN
Black Hawk,S23582700190,58.56,12,2,NaN
Black Hawk,S23585600030,27.74,12,1,NaN
Black Hawk,S23728100017,127.44,6,21,NaN
Black Hawk,S23883300001,180,24,9,NaN
Black Hawk,S23885400014,90,6,4,NaN
Black Hawk,S23889200010,373.56,12,9,NaN
Black Hawk,S23952400007,110.64,24,9,NaN
Black Hawk,S24023100038,63,12,1,NaN
Black Hawk,S24142100023,37.14,12,2,NaN
Black Hawk,S24147200026,567.12,12,24,NaN
Black Hawk,S24156600030,120.24,12,18,NaN
Boone,S04046100083,10.24,12,0,NaN
Boone,S04051600005,234.12,12,9,NaN
Boone,S05072900013,131.64,6,21,NaN
Boone,S05632400006,135.6,12,9,NaN
Boone,S05963700014,169.92,12,9,NaN
Boone,S06117700110,55.11,12,2,NaN
Boone,S06235900007,117.48,12,9,NaN
Boone,S07600600007,162.78,6,4,NaN
Boone,S07908400010,117.12,12,18,NaN
Boone,S08498500016,25.35,12,2,NaN
Boone,S09756500008,75,6,10,NaN
Boone,S10277800008,149.88,12,9,NaN
Boone,S10787500046,152.88,12,9,NaN
Boone,S11029300014,93.78,6,4,NaN
Boone,S11517600018,55.44,6,10,NaN
Boone,S11924900094,112.5,6,4,NaN
Boone,S12924400003,151.44,12,9,NaN
Boone,S13199900010,177.24,12,9,NaN
Boone,S13698100007,159.72,6,10,NaN
Boone,S14187700009,141.72,12,9,NaN
Boone,S14483100052,59.88,12,9,NaN
Boone,S15022600025,64.72,12,2,NaN
Boone,S15172700015,73.8,6,10,NaN
Boone,S16084100008,143.88,12,12,NaN
Boone,S16720700007,94.02,6,10,NaN
Boone,S16761900015,17.98,12,2,NaN
Boone,S17110000005,265.56,12,9,NaN
Boone,S17732400047,98.64,12,9,NaN
Boone,S17975300077,10.52,48,1,NaN
Boone,S18123900002,94.02,6,10,NaN
Boone,S18831800017,102.6,6,10,NaN
Boone,S19875200011,99.18,6,10,NaN
Boone,S20270100022,66.42,6,10,NaN
Boone,S20424500016,24.15,24,2,NaN
Boone,S20935900010,67.5,24,4,NaN
Boone,S22238600022,12.6,12,2,NaN
Boone,S23150400016,55.5,6,10,NaN
Boone,S23398800020,24.76,12,2,NaN
Boone,S23612100083,20.22,24,1,NaN
Boone,S23769100001,162.84,6,4,NaN
