Orders.Ship Date,Orders.Segment,Measure.Total Cost,Measure.Total Order,Measure.Total Profit,Orders.__Images
2019-03-14T18:30:00.000Z,Consumer,307.3782,1,-31.372200000000007,https://cdn-icons-png.flaticon.com/512/632/632407.png
2019-03-14T18:30:00.000Z,Corporate,12309.180100000001,3,-585.3611000000002,https://cdn-icons-png.flaticon.com/512/632/632407.png
2019-03-14T18:30:00.000Z,Home Office,660.5595999999999,1,156.6804,https://cdn-icons-png.flaticon.com/512/632/632407.png
2019-12-01T18:30:00.000Z,Consumer,12698.262200000001,3,-6884.697200000001,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2019-12-01T18:30:00.000Z,Corporate,486.898,2,12.974,https://cdn-icons-png.flaticon.com/512/632/632407.png
2019-12-01T18:30:00.000Z,Home Office,,,,
2019-12-20T18:30:00.000Z,Consumer,8225.774000000001,3,4590.406,https://cdn-icons-png.flaticon.com/512/632/632407.png
2019-12-20T18:30:00.000Z,Corporate,377.5060000000001,1,11.933999999999983,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2019-12-20T18:30:00.000Z,Home Office,4191.5839,3,-481.8628999999999,https://cdn-icons-png.flaticon.com/512/632/632407.png
2020-09-25T18:30:00.000Z,Consumer,15821.821500000002,6,715.9355,https://cdn-icons-png.flaticon.com/512/632/632407.png
2020-09-25T18:30:00.000Z,Corporate,2356.9608000000007,2,530.2652,https://cdn-icons-png.flaticon.com/512/632/632407.png
2020-09-25T18:30:00.000Z,Home Office,347.0254,2,22.726599999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2020-10-23T18:30:00.000Z,Consumer,1597.5474,2,-126.7721999999999,https://cdn-icons-png.flaticon.com/512/632/632407.png
2020-10-23T18:30:00.000Z,Corporate,5280.119,4,-27.859000000000094,https://cdn-icons-png.flaticon.com/512/632/632407.png
2020-10-23T18:30:00.000Z,Home Office,9693.292300000001,1,4597.1657,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2020-11-03T18:30:00.000Z,Consumer,508.54890000000006,1,111.14109999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2020-11-03T18:30:00.000Z,Corporate,12426.759399999999,1,-3825.339399999999,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2020-11-03T18:30:00.000Z,Home Office,2908.4021,3,248.56789999999992,https://cdn-icons-png.flaticon.com/512/632/632407.png
2021-03-14T18:30:00.000Z,Consumer,345.3782,1,-31.372200000000007,https://cdn-icons-png.flaticon.com/512/632/632407.png
2021-03-14T18:30:00.000Z,Corporate,11796.180100000001,3,-585.3611000000002,https://cdn-icons-png.flaticon.com/512/632/632407.png
2021-03-14T18:30:00.000Z,Home Office,784.5596,1,156.6804,https://cdn-icons-png.flaticon.com/512/632/632407.png
2021-12-01T18:30:00.000Z,Consumer,12567.262200000001,3,-6884.697200000001,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2021-12-01T18:30:00.000Z,Corporate,299.898,2,12.974,https://cdn-icons-png.flaticon.com/512/632/632407.png
2021-12-01T18:30:00.000Z,Home Office,,,,
2022-09-25T18:30:00.000Z,Consumer,15382.821500000002,6,715.9355,https://cdn-icons-png.flaticon.com/512/632/632407.png
2022-09-25T18:30:00.000Z,Corporate,2472.9608000000007,2,530.2652,https://cdn-icons-png.flaticon.com/512/632/632407.png
2022-09-25T18:30:00.000Z,Home Office,389.02539999999993,2,22.726599999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2022-10-23T18:30:00.000Z,Consumer,1689.5474,2,-126.7721999999999,https://cdn-icons-png.flaticon.com/512/632/632407.png
2022-10-23T18:30:00.000Z,Corporate,4897.119,4,-27.859000000000094,https://cdn-icons-png.flaticon.com/512/632/632407.png
2022-10-23T18:30:00.000Z,Home Office,9969.402300000002,2,4606.4956999999995,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2022-11-03T18:30:00.000Z,Consumer,443.54890000000006,1,111.14109999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2022-11-03T18:30:00.000Z,Corporate,12238.759399999999,1,-3825.339399999999,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2022-11-03T18:30:00.000Z,Home Office,2855.4021000000002,3,248.56789999999992,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-03-22T18:30:00.000Z,Consumer,,,,
2023-03-22T18:30:00.000Z,Corporate,,,,
2023-03-22T18:30:00.000Z,Home Office,26706.960700000003,1,-1789.7327000000023,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-07-26T18:30:00.000Z,Consumer,11130.956799999996,4,590.6291999999996,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-07-26T18:30:00.000Z,Corporate,1330.8028,1,115.02520000000005,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2023-07-26T18:30:00.000Z,Home Office,347.324,1,7.675999999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2023-09-11T18:30:00.000Z,Consumer,15005.3659,3,-1578.2999000000023,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-09-11T18:30:00.000Z,Corporate,2960.7048000000004,3,596.2851999999999,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-09-11T18:30:00.000Z,Home Office,,,,
2023-12-20T18:30:00.000Z,Consumer,8678.629700000001,4,2409.1902999999998,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-12-20T18:30:00.000Z,Corporate,3621.4262999999996,4,166.34269999999995,https://cdn-icons-png.flaticon.com/512/632/632407.png
2023-12-20T18:30:00.000Z,Home Office,3144.1767,1,623.1933,https://cdn-icons-png.flaticon.com/512/632/632407.png
